Term	Gene	Log2(FoldChange)	PValue	Compare_Sample_ID	Compare_Sample_Info	Factor	Condition	Tissue	Category,,,,,,,,
GSE67956_11	AT3G26790	1.81058460157948	0.00491847905372054	GSM1659619,GSM1659620 / GSM1659643,GSM1659644	D1_wt / L3_wt	Dark treatment	prolonged_darkness_for_24h / short_day_for_72h	5 week-old  rosette leaves 	Treatment,,,,,,
GSE80565_12	AT3G26790	1.7875575384045401	4.14328120725531e-05	GSM2130995,GSM2131009 / GSM2130983,GSM2130997	ABA_60h / ABA_01h	ABA treatment	ABA_for_60h / ABA_for_1h	3 day-old seedlings	Treatment,,,,,,
GSE67956_1	AT3G26790	1.78616959216698	0.0127097820698142	GSM1659615,GSM1659616 / GSM1659639,GSM1659640	D1_hml / L3_hml	Dark treatment	prolonged_darkness_for_24h / short_day_for_72h	5 week-old  rosette leaves 	Treatment,,,,,,
GSE80565_1	AT3G26790	1.7584594466384598	0.00188832756730758	GSM2130985,GSM2130999 / GSM2130986,GSM2131000	ABA_04h / EtOH_04h	ABA treatment	ABA_for_4h / EtOH_for_4h	3 day-old seedlings	Treatment,,,,,,
GSE23301_3	AT3G26790	1.7162759461043102	0.00449964572192866	GSM604750,GSM604751,GSM604755 / GSM604752,GSM604753,GSM604754	ABA+DMTU / DMTU	ABA treatment	ABA+DMTU_treatment / DMTU_treatment	5 day-old T87 suspension cells	Treatment,,,,
GSE80565_3	AT3G26790	1.68237275704507	0.008057015496410209	GSM2130989,GSM2131003 / GSM2130990,GSM2131004	ABA_12h / EtOH_12h	ABA treatment	ABA_for_12h / EtOH_for_12h	3 day-old seedlings	Treatment,,,,,,
GSE80565_2	AT3G26790	1.6599245584023798	0.00325730050919951	GSM2130987,GSM2131001 / GSM2130988,GSM2131002	ABA_08h / EtOH_08h	ABA treatment	ABA_for_8h / EtOH_for_8h	3 day-old seedlings	Treatment,,,,,,
GSE80565_5	AT3G26790	1.6006456245964098	0.0265396410006939	GSM2130993,GSM2131007 / GSM2130994,GSM2131008	ABA_36h / EtOH_36h	ABA treatment	ABA_for_36h / EtOH_for_36h	3 day-old seedlings	Treatment,,,,,,
GSE80565_4	AT3G26790	1.5451278702539502	0.00039802156375048	GSM2130991,GSM2131005 / GSM2130992,GSM2131006	ABA_24h / EtOH_24h	ABA treatment	ABA_for_24h / EtOH_for_24h	3 day-old seedlings	Treatment,,,,,,
GSE80188_1	AT3G26790	1.4594316186373002	0.0024589030198211	GSM2114480 / GSM2114478	50nM_cytokinin_(BAP)_Roots / Control_Roots	BAP treatment	50nM_CK_ / no_treatment	7 day-old roots	Treatment,,,,,,,,
GSE80565_7	AT3G26790	1.4368638617320202	0.0138813743250961	GSM2130985,GSM2130999 / GSM2130983,GSM2130997	ABA_04h / ABA_01h	ABA treatment	ABA_for_4h / ABA_for_1h	3 day-old seedlings	Treatment,,,,,,
GSE80565_10	AT3G26790	1.4368638617320202	0.00251921414185292	GSM2130991,GSM2131005 / GSM2130983,GSM2130997	ABA_24h / ABA_01h	ABA treatment	ABA_for_24h / ABA_for_1h	3 day-old seedlings	Treatment,,,,,,
GSE55431_3	AT3G26790	1.23341234251325	0.00048570740327750995	GSM1336526,GSM1336527 / GSM1336520,GSM1336521	Wild_type_(Col-0)_inflorescence_moderate_drought_treatment_day_5 / Wild_type_(Col-0)_inflorescence_well-watered_day_0	Drought stress	drought_stress_treatment_for_5_days / no_treatment	Unopen flower buds, at day 24 or 29 after seed germination	Treatment,,,,,
GSE80565_6	AT3G26790	1.16620715099253	0.00572969417352612	GSM2130995,GSM2131009 / GSM2130996,GSM2131010	ABA_60h / EtOH_60h	ABA treatment	ABA_for_60h / EtOH_for_60h	3 day-old seedlings	Treatment,,,,,,
GSE80565_9	AT3G26790	1.16600995143893	0.0299139673585946	GSM2130989,GSM2131003 / GSM2130983,GSM2130997	ABA_12h / ABA_01h	ABA treatment	ABA_for_24h / ABA_for_1h	3 day-old seedlings	Treatment,,,,,,
GSE10670_2	AT3G26790	-1.24581703285878	0.00420416323053414	GSM269816,GSM269824,GSM269832 / GSM269817,GSM269825,GSM269833	T8_leaf-well_watered / T8_leaf-drought	Drought stress	well_watered / 7d_without_water	8 week-old  fully expanded leaves	Treatment,,,,
GSE23301_2	AT3G26790	-1.4032941120823201	0.0037841738214214704	GSM604752,GSM604753,GSM604754 / GSM571891,GSM571893,GSM571895	DMTU / control	DMTU treatment	DMTU_treatment / no_treatment	5 day-old T87 suspension cells	Treatment,,,,
GSE30223_8	AT3G26790	-1.8220424154286199	0.0048553085309108	GSM748484,GSM748485,GSM748486 / GSM748469,GSM748470,GSM748471	seed_germinating_in_countinuous_light_6_h_SL / dry_seed_0_h	Light treatment	light_for_6h / no_treatment	Seeds	Treatment,,,,
GSE30223_4	AT3G26790	-1.97323756826628	0.007409795773855709	GSM748481,GSM748482,GSM748483 / GSM748469,GSM748470,GSM748471	seed_germinating_in_countinuous_light_1_h_SL / dry_seed_0_h	Light treatment	light_for_1h / no_treatment	Seeds	Treatment,,,,
GSE28600_18	AT3G26790	-2.4041597569064104	0.0036836808914356796	GSM707791,GSM707792 / GSM707774,GSM707775,GSM707776	ABA_JA_24h / ABA_24h	JA treatment	25uM_ABA_+_100uM_MeJA_24h / 25uM_ABA_24h	T87 cultured cells	Treatment,,,,,
GSE30223_5	AT3G26790	-2.7839631289214104	0.000117219961989981	GSM748487,GSM748488,GSM748489 / GSM748469,GSM748470,GSM748471	seed_germinating_in_countinuous_light_12_h_SL / dry_seed_0_h	Light treatment	light_for_12h / no_treatment	Seeds	Treatment,,,,
GSE30223_7	AT3G26790	-3.0875124072011	3.6886594064154706e-05	GSM748493,GSM748494,GSM748495 / GSM748469,GSM748470,GSM748471	seed_germinating_in_countinuous_light_48_h_SL / dry_seed_0_h	Light treatment	light_for_48h / no_treatment	Seeds	Treatment,,,,
GSE30223_6	AT3G26790	-3.2836275423964603	2.69263354751135e-05	GSM748490,GSM748491,GSM748492 / GSM748469,GSM748470,GSM748471	seed_germinating_in_countinuous_light_24_h_SL / dry_seed_0_h	Light treatment	light_for_24h / no_treatment	Seeds	Treatment,,,,
GSE23301_4	AT3G26790	-3.74567234031729	0.000451508075030043	GSM604750,GSM604751,GSM604755 / GSM571892,GSM571894,GSM571896	ABA+DMTU / ABA	DMTU treatment	ABA+DMTU_treatment / ABA_treatment	5 day-old T87 suspension cells	Treatment,,,,
GSE5700_1	AT3G26790	-5.01550936461492	0.00493844400908272	GSM133308,GSM133309 / GSM133303,GSM133304	24_h_imbibed_seed_in_30_uM_ABA / dry_seed_no_treatment	ABA treatment	30uM_ABA_for_24h / no_treatment	seeds	Treatment,,,,,,
GSE5700_0	AT3G26790	-5.24981301563111	0.000720159697357825	GSM133307,GSM133310 / GSM133303,GSM133304	24_h_imbibed_seed_in_3_uM_ABA / dry_seed_no_treatment	ABA treatment	3uM_ABA_for_24h / no_treatment	seeds	Treatment,,,,,,
GSE5700_2	AT3G26790	-6.513901291790531	0.000502728375366973	GSM133305,GSM133306 / GSM133303,GSM133304	24_h_imbibed_seed_in_water / dry_seed_no_treatment	Water treatment	water_for_24h / no_treatment	seeds	Treatment,,,,,,
GSE83568_2	AT3G26790	7.72628628972067	5.045949143186029e-58	GSM2209717,GSM2209718 / GSM2209709,GSM2209710	abc_10DAG / WT_10DAG	bmi1a,bmi1b,bmi1c	No treatment	10 day-old seedlings	Mutation_or_Overexpression,,,,
GSE83568_6	AT3G26790	7.40117666798288	2.19400636402726e-05	GSM2209717,GSM2209718 / GSM2209713,GSM2209714	abc_10DAG / b_10DAG	bmi1b,bmi1c	No treatment	10 day-old seedlings	Mutation_or_Overexpression,,,,,
GSE75071_1	AT3G26790	6.4393178162765805	4.214954895078471e-15	GSM1942143,GSM1942144,GSM1942145,GSM1942146,GSM1942147 / GSM1942140,GSM1942141,GSM1942142	met1_sdg78 / WT	met1,sdg7,sdg8	No treatment	Aerial tissue	Mutation_or_Overexpression
GSE83568_4	AT3G26790	5.846580523438389	1.98879873051951e-43	GSM2209717,GSM2209718 / GSM2209711,GSM2209712	abc_10DAG / a_10DAG	bmi1b,bmi1c	No treatment	10 day-old seedlings	Mutation_or_Overexpression,,,,,
GSE20256_0	AT3G26790	5.77297814368638	4.0526095090733896e-05	GSM507497,GSM507501 / GSM507494,GSM507498	clf/swn / Col	clf,swn	No treatment	10 or 12 day-old whole plants	Mutation_or_Overexpression,,,,,
GSE83568_1	AT3G26790	5.52745771643781	0.0009065162090713519	GSM2209714,GSM2209715,GSM2209716 / GSM2209709,GSM2209710,GSM2209713	b_10DAG / WT_10DAG	bmi1b	No treatment	10 day-old seedlings	Mutation_or_Overexpression,,,,
GSE83568_5	AT3G26790	5.46752836704235	0.00220413310261157	GSM2209715,GSM2209716 / GSM2209713,GSM2209714	ab_strong_10DAG / b_10DAG	bmi1a	No treatment	10 day-old seedlings	Mutation_or_Overexpression,,,,,,
GSE67322_5	AT3G26790	5.124699230372309	5.30163279040355e-06	GSM1644829,GSM1955352 / GSM1644823,GSM1891779	clf29swn21 / Col	clf29,swn21	No treatment	2 week old seedlings without roots	Mutation_or_Overexpression,,,,,
GSE83568_3	AT3G26790	4.33208520997025	4.49936827216472e-53	GSM2209715,GSM2209716 / GSM2209711,GSM2209712	ab_strong_10DAG / a_10DAG	bmi1b	No treatment	10 day-old seedlings	Mutation_or_Overexpression,,,,,,
GSE43983_3	AT3G26790	2.22019265840018	1.18352471337362e-06	GSM1076105 / GSM1076101	clf28_siliques / wt_siliques	clf28	Under long day 	5 week-old siliques	Mutation_or_Overexpression,,,,,,,,
GSE61545_3	AT3G26790	1.51954006697635	5.5162641213238794e-05	GSM1507965,GSM1507966,GSM1507967 / GSM1507953,GSM1507954,GSM1507955	clf28_siliques / WT_siliques	clf28	No treatment	5 week-old siliques	Mutation_or_Overexpression,,,,
GSE83568_7	AT3G26790	1.5144953134681298	3.2879691396410806e-09	GSM2209717,GSM2209718 / GSM2209715,GSM2209716	abc_10DAG / ab_strong_10DAG	bmi1c	No treatment	10 day-old seedlings	Mutation_or_Overexpression,,,,,,
GSE66290_3	AT3G26790	1.0835268419763702	0.0212651396912099	GSM1618760,GSM1618761,GSM1618762 / GSM1618754,GSM1618755,GSM1618756	wrky33_Bc_14h / WT_Bc_14h	wrky33	14h post inoculation with spores of Botrytis cinerea 2100	4 week-old mature leaves	Mutation_or_Overexpression,,,,
GSE70491_2	AT3G26790	-1.2995602818589098	0.033825657533004	GSM1784166 / GSM1784165	lsm1a_lsm1b-NaCl / Col-0-NaCl	lsm1a,lsm1b	NaCl 150mM for 10h	two week-old  leaves	Mutation_or_Overexpression,,,,,,,
GSE5632_31	AT3G26790	-1.32879028181557	0.004852484698796571	GSM131627,GSM131628,GSM131629 / GSM131621,GSM131622,GSM131623	ATGE_57_ap3-6_flower_stage_12_equivalent_continuous_light_soil / ATGE_55_ap1-15_flower_stage_12_equivalent_continuous_light_soil	ap1,ap3	Under continous light	Flowers from different developmental stages	Mutation_or_Overexpression,,,
GSE5632_9	AT3G26790	-1.46029058182297	2.41281165615364e-06	GSM131624,GSM131625,GSM131626 / GSM131615,GSM131616,GSM131617	ATGE_56_ap2-6_flower_stage_12_equivalent_continuous_light_soil / ATGE_53_clv3-7_flower_stage_12_equivalent_continuous_light_soil	clv3,ap2	Under continous light	Flowers from different developmental stages	Mutation_or_Overexpression,,,
GSE5632_12	AT3G26790	-1.6545182909425	0.0009312447239574131	GSM131633,GSM131634,GSM131635 / GSM131615,GSM131616,GSM131617	ATGE_59_ufo-1_flower_stage_12_equivalent_continuous_light_soil / ATGE_53_clv3-7_flower_stage_12_equivalent_continuous_light_soil	clv3,ufo	Under continous light	Flowers from different developmental stages	Mutation_or_Overexpression,,,
GSE67669_1	AT3G26790	-1.72246602447109	0.0452811842129604	GSM1653212 / GSM1653210	abo4 / Col	abo4	No treatment	14 day old seedlings	Mutation_or_Overexpression,,,,,,,,
GSE1051_6	AT3G26790	-2.19308940182457	0.00110698121342404	GSM10481,GSM10482 / GSM10451,GSM10453	lec1-1_Mature_Green_Seed / WT_Mature_Green_Seed	lec1	Mature Green Seed	Seeds	Mutation_or_Overexpression,,,,,,
GSE5632_7	AT3G26790	-2.37739945685892	1.64577718184921e-07	GSM131618,GSM131619,GSM131620 / GSM131615,GSM131616,GSM131617	ATGE_54_lfy-12_flower_stage_12_equivalent_continuous_light_soil / ATGE_53_clv3-7_flower_stage_12_equivalent_continuous_light_soil	lfy,clv3	Under continous light	Flowers from different developmental stages	Mutation_or_Overexpression,,,
GSE5632_11	AT3G26790	-2.4158308029854902	0.000124090911490366	GSM131630,GSM131631,GSM131632 / GSM131615,GSM131616,GSM131617	ATGE_58_ag-12_flower_stage_12_equivalent_continuous_light_soil / ATGE_53_clv3-7_flower_stage_12_equivalent_continuous_light_soil	clv3,ag	Under continous light	Flowers from different developmental stages	Mutation_or_Overexpression,,,
GSE5632_10	AT3G26790	-2.53564460358061	1.61926241799928e-05	GSM131627,GSM131628,GSM131629 / GSM131615,GSM131616,GSM131617	ATGE_57_ap3-6_flower_stage_12_equivalent_continuous_light_soil / ATGE_53_clv3-7_flower_stage_12_equivalent_continuous_light_soil	clv3,ap3	Under continous light	Flowers from different developmental stages	Mutation_or_Overexpression,,,
GSE50942_0	AT3G26790	-4.38994651831601	0.000153452631919926	GSM1232786 / GSM1232785	hta6_7_12_mRNA / WT_mRNA	hta6	No treatment	10 day-old seedlings	Mutation_or_Overexpression,,,,,,,,
GSE20256_3	AT3G26790	-6.07216439328841	9.99928559394292e-05	GSM507495,GSM507499 / GSM507497,GSM507501	clf / clf/swn	swn	No treatment	10 or 12 day-old whole plants	Mutation_or_Overexpression,,,,,,
GSE20256_4	AT3G26790	-6.089989523723579	0.00028772869615211497	GSM507496,GSM507500 / GSM507497,GSM507501	swn / clf/swn	clf	No treatment	10 or 12 day-old whole plants	Mutation_or_Overexpression,,,,,,
GSE93968_3	AT3G26790	1.28650917830087	0.000927700741991119	GSM2465828,GSM2465829,GSM2465830 / GSM2465822,GSM2465823,GSM2465824	RIL242 / cvi	Col,Cvi RIL242	No treatment	3 week-old rosette leaves	Ecotype_or_Cultivar,,,
GSE93968_0	AT3G26790	-1.6484503041707799	0.000206599272388382	GSM2465825,GSM2465826,GSM2465827 / GSM2465819,GSM2465820,GSM2465821	RIL124 / col	Col,Cvi RIL124	No treatment	3 week-old rosette leaves	Ecotype_or_Cultivar,,,
