	Name	AGI ID	TF/Histone	P-value	Corr. p-value	GSE	Genotype	Tissue	Growth cond.	IP	COEX	COEX (Tissue)	COEX (Abiotic)	COEX (Hormone)	COEX (Biotic)	COEX (Light)	Targets	PPI	INDEX
1138	Pol2	Pol2	Protein	2.8800000000000002e-28	4.7116800000000005e-25	GSE79354	Col-0	seedling	incubation at 27°C for 15min	ChIP	NA	NA	NA	NA	NA	NA	AT1G01520, AT1G06000, AT1G10370, AT1G10740, AT1G10960, AT1G15980, AT1G19150, AT1G19490, AT1G24147, AT1G30070, AT1G30530, AT1G32080, AT1G35560, AT1G48100, AT1G55910, AT1G55960, AT1G56510, AT1G64780, AT1G78570, AT2G04790, AT2G17780, AT2G26850, AT2G30100, AT2G37040, AT2G39730, AT2G40020, AT2G46830, AT2G46940, AT3G01060, AT3G01550, AT3G02380, AT3G02830, AT3G10420, AT3G12580, AT3G18750, AT3G19450, AT3G21250, AT3G22840, AT3G24520, AT3G30460, AT3G47070, AT3G50560, AT3G53830, AT3G55330, AT3G62040, AT4G14540, AT4G14690, AT4G15430, AT4G15630, AT4G27940, AT4G28660, AT4G30610, AT5G10150, AT5G13170, AT5G13930, AT5G15920, AT5G15948, AT5G17170, AT5G17300, AT5G17870, AT5G24660, AT5G38410, AT5G38430, AT5G38820, AT5G40950	Not available	Pol2.Protein.GSE79354_25.ChIP
858	Pol2S5P	Pol2S5P	Protein	6.759999999999999e-28	1.105936e-24	GSE113078	Col-0	seedling (8DAG)	-	ChIP	NA	NA	NA	NA	NA	NA	AT1G01520, AT1G06000, AT1G10370, AT1G10740, AT1G10960, AT1G12570, AT1G15980, AT1G19150, AT1G19490, AT1G30530, AT1G35560, AT1G48100, AT1G49630, AT1G55910, AT1G55960, AT1G56510, AT1G64590, AT1G64780, AT1G65560, AT1G71870, AT1G78570, AT1G80340, AT2G17695, AT2G26695, AT2G26850, AT2G27420, AT2G30100, AT2G32640, AT2G37040, AT2G39730, AT2G40020, AT2G42170, AT2G46830, AT3G01060, AT3G01440, AT3G01550, AT3G02380, AT3G02670, AT3G10420, AT3G12580, AT3G13510, AT3G18750, AT3G19450, AT3G21250, AT3G22840, AT3G24520, AT3G47070, AT3G50560, AT3G53830, AT3G55330, AT4G14690, AT4G27940, AT4G28660, AT4G30610, AT5G08640, AT5G10150, AT5G13170, AT5G13930, AT5G15920, AT5G15948, AT5G17300, AT5G17870, AT5G17890, AT5G24660, AT5G38410, AT5G38430, AT5G40950	Not available	Pol2S5P.Protein.GSE113078_14.ChIP
471	H2AZ	H2AZ	Histone	1.33e-26	2.17588e-23	GSE133408	Col-0	etiolated seedling	air (control to JA (4hr) treatment)	ChIP	NA	NA	NA	NA	NA	NA	AT1G06000, AT1G10960, AT1G12570, AT1G15980, AT1G19150, AT1G19490, AT1G30530, AT1G32080, AT1G48100, AT1G49630, AT1G55910, AT1G55960, AT1G56510, AT1G64590, AT1G64780, AT1G65560, AT1G71870, AT1G80340, AT2G04790, AT2G17695, AT2G22420, AT2G26850, AT2G27420, AT2G30100, AT2G37040, AT2G39280, AT2G40020, AT2G42170, AT2G46830, AT2G46940, AT3G01060, AT3G01440, AT3G01550, AT3G02670, AT3G02830, AT3G03770, AT3G10420, AT3G19450, AT3G21250, AT3G22840, AT3G28270, AT3G30460, AT3G48420, AT3G51750, AT3G53830, AT4G00490, AT4G01080, AT4G14540, AT4G14690, AT4G28660, AT5G08640, AT5G10150, AT5G13930, AT5G17300, AT5G17870, AT5G17890, AT5G24660, AT5G38820, AT5G40950	Not available	H2AZ.Histone.GSE133408_4.ChIP
1289	LBD2	AT1G06280	TF	1.42e-26	2.32312e-23	GSE60143	Col	young leaf	-	DAP	NA	NA	NA	NA	NA	NA	AT1G06000, AT1G10370, AT1G10740, AT1G10960, AT1G12570, AT1G15980, AT1G19150, AT1G19490, AT1G30070, AT1G30530, AT1G32080, AT1G35560, AT1G48100, AT1G49630, AT1G55910, AT1G56510, AT1G64590, AT1G64780, AT1G65560, AT1G78570, AT1G80340, AT2G17695, AT2G17780, AT2G26850, AT2G27420, AT2G30100, AT2G37040, AT2G39280, AT2G39730, AT2G42170, AT2G46830, AT2G46940, AT3G01060, AT3G01440, AT3G01550, AT3G02380, AT3G02670, AT3G03770, AT3G10420, AT3G12580, AT3G13510, AT3G18750, AT3G19450, AT3G21250, AT3G22840, AT3G24520, AT3G28270, AT3G47070, AT3G48420, AT3G55330, AT4G00490, AT4G01080, AT4G14540, AT4G14690, AT4G28660, AT4G30610, AT5G08640, AT5G13170, AT5G17870, AT5G17890, AT5G24660, AT5G38350, AT5G38820	Not available	AT1G06280.TF.GSE60143_231.DAP
1424	H3K4me3	H3K4me3	Histone	1.0800000000000002e-25	1.7668800000000003e-22	GSE73972	atx345 (Col-0)	rosette leaf (28DAG)	-	ChIP	NA	NA	NA	NA	NA	NA	AT1G01520, AT1G06000, AT1G10370, AT1G10740, AT1G10960, AT1G15980, AT1G19150, AT1G19490, AT1G24147, AT1G29720, AT1G30070, AT1G30530, AT1G32080, AT1G35560, AT1G48100, AT1G49630, AT1G55910, AT1G55960, AT1G56510, AT1G64590, AT1G64780, AT1G65560, AT1G78570, AT2G17695, AT2G17780, AT2G22420, AT2G26850, AT2G30100, AT2G32640, AT2G37040, AT2G39280, AT2G39730, AT2G40020, AT2G42170, AT2G46830, AT2G46940, AT3G01060, AT3G01440, AT3G01550, AT3G02380, AT3G02830, AT3G03770, AT3G10420, AT3G12580, AT3G13510, AT3G18750, AT3G19450, AT3G22840, AT3G24520, AT3G28270, AT3G30460, AT3G47070, AT3G48420, AT3G53830, AT3G55330, AT3G62040, AT4G00490, AT4G01080, AT4G12830, AT4G14540, AT4G14690, AT4G15430, AT4G15630, AT4G27940, AT4G28660, AT4G30610, AT5G08640, AT5G10150, AT5G13930, AT5G15920, AT5G15948, AT5G17170, AT5G17300, AT5G17870, AT5G17890, AT5G20450, AT5G24660, AT5G38410, AT5G38430, AT5G40950	Not available	H3K4me3.Histone.GSE73972_3.ChIP
390	RGA, RGA1	AT2G01570	TF	2.58e-25	4.22088e-22	GSE94926	pRGA::GFP-rga-delta17 (Ler)	inflorescence apices	-	ChIP	0.6154545454545455	0.7673727272727274	0.9252727272727274	1.1893036363636365	0.9777799999999999	1.0193745454545453	AT1G01520, AT1G01580, AT1G06000, AT1G10370, AT1G10740, AT1G10960, AT1G15980, AT1G19150, AT1G19490, AT1G24147, AT1G29720, AT1G30530, AT1G35560, AT1G48100, AT1G49630, AT1G55910, AT1G55960, AT1G56510, AT1G64590, AT1G64780, AT1G71870, AT1G78570, AT1G80340, AT2G17780, AT2G27402, AT2G27420, AT2G30100, AT2G37040, AT2G39280, AT2G39730, AT2G46830, AT2G46940, AT3G01060, AT3G01440, AT3G02380, AT3G02830, AT3G03770, AT3G10185, AT3G10420, AT3G13510, AT3G18750, AT3G19450, AT3G21250, AT3G22840, AT3G24520, AT3G50560, AT4G00490, AT4G01080, AT4G14540, AT4G14690, AT4G15430, AT4G15630, AT4G27940, AT4G30610, AT5G08640, AT5G10150, AT5G13170, AT5G13930, AT5G15920, AT5G15948, AT5G17300, AT5G38410, AT5G38430, AT5G38820, AT5G49330	AT4G24650, AT1G19700, AT3G47620, AT3G02150, AT5G14170, AT3G50330, AT5G05790, AT5G16560, AT1G70700, AT1G53230, AT2G46735, AT2G23760, AT5G41410, AT3G05120, AT5G27320	AT2G01570.TF.GSE94926_0.ChIP
992	H3ac	H3ac	Histone	1.1699999999999998e-24	1.91412e-21	GSE124414	hdc1	seedling	-	ChIP	NA	NA	NA	NA	NA	NA	AT1G01520, AT1G06000, AT1G10370, AT1G10740, AT1G10960, AT1G15980, AT1G19150, AT1G19490, AT1G24147, AT1G30070, AT1G32080, AT1G35560, AT1G48100, AT1G49630, AT1G55910, AT1G55960, AT1G56510, AT1G64590, AT1G64780, AT1G71870, AT1G78570, AT1G80340, AT2G04790, AT2G17695, AT2G22420, AT2G26850, AT2G27402, AT2G27420, AT2G30100, AT2G32640, AT2G37040, AT2G39280, AT2G39730, AT2G40020, AT2G42170, AT2G46830, AT2G46940, AT3G01060, AT3G01440, AT3G01550, AT3G02380, AT3G02830, AT3G03770, AT3G10420, AT3G13510, AT3G18750, AT3G19450, AT3G21250, AT3G24520, AT3G47070, AT3G48420, AT3G50560, AT3G51750, AT3G53830, AT3G55330, AT4G00490, AT4G01080, AT4G12830, AT4G14540, AT4G14690, AT4G15430, AT4G27940, AT4G28660, AT4G30610, AT5G08640, AT5G10150, AT5G13930, AT5G15920, AT5G15948, AT5G17170, AT5G17300, AT5G17870, AT5G17890, AT5G20450, AT5G24660, AT5G38410, AT5G38430, AT5G40950, AT5G49330	Not available	H3ac.Histone.GSE124414_2.ChIP
913	ATHSF3, ATHSFA1B, HSF3, HSFA1B	AT5G16820	TF	1.31e-24	2.1431599999999998e-21	GSE85651	35S::HSFA1b-eYFP (Col-0)	leaf (35DAG)	no stress (control to heat stress)	ChIP	0.6527868852459017	0.7952098360655737	1.5985459016393442	0.8226672131147542	0.9343114754098361	1.2213147540983607	AT1G01520, AT1G01580, AT1G06000, AT1G10370, AT1G10740, AT1G10960, AT1G15980, AT1G19150, AT1G19490, AT1G24147, AT1G29720, AT1G30070, AT1G30530, AT1G35560, AT1G48100, AT1G49630, AT1G55910, AT1G55960, AT1G56510, AT1G64590, AT1G64780, AT1G71870, AT1G78570, AT1G80340, AT2G04790, AT2G27402, AT2G30100, AT2G37040, AT2G39280, AT2G39730, AT2G46830, AT2G46940, AT3G01060, AT3G01550, AT3G02380, AT3G02830, AT3G03770, AT3G10185, AT3G10420, AT3G12580, AT3G13510, AT3G19450, AT3G21250, AT3G22840, AT3G24520, AT3G47070, AT3G50560, AT3G51750, AT3G53830, AT3G55330, AT4G00490, AT4G01080, AT4G14540, AT4G15430, AT4G15630, AT4G27940, AT4G28660, AT4G30610, AT5G08640, AT5G10150, AT5G13170, AT5G13930, AT5G15948, AT5G17170, AT5G17300, AT5G17890, AT5G24660, AT5G38410, AT5G40950, AT5G49330	AT4G17750, AT4G17750, AT4G17750, AT5G16820, AT5G16820, AT4G17750, AT4G17750, AT5G16820, AT5G16820, AT4G15802, AT4G15802, AT2G26150, AT2G26150, AT5G54070	AT5G16820.TF.GSE85651_2.ChIP
834	H3ac	H3ac	Histone	1.4999999999999998e-24	2.4539999999999996e-21	GSE124414	hda6	seedling	-	ChIP	NA	NA	NA	NA	NA	NA	AT1G01520, AT1G06000, AT1G10370, AT1G10740, AT1G10960, AT1G15980, AT1G19150, AT1G19490, AT1G30070, AT1G30530, AT1G32080, AT1G35560, AT1G48100, AT1G49630, AT1G55960, AT1G56510, AT1G64590, AT1G64780, AT1G71870, AT1G80340, AT2G04790, AT2G17695, AT2G22420, AT2G27402, AT2G27420, AT2G30100, AT2G32640, AT2G37040, AT2G39280, AT2G39730, AT2G40020, AT2G42170, AT2G46830, AT2G46940, AT3G01060, AT3G01440, AT3G01550, AT3G02380, AT3G02830, AT3G10420, AT3G13510, AT3G18750, AT3G19450, AT3G21250, AT3G22840, AT3G24520, AT3G47070, AT3G48420, AT3G50560, AT3G53830, AT4G00490, AT4G01080, AT4G14540, AT4G14690, AT4G15430, AT4G27940, AT4G28660, AT4G30610, AT5G08640, AT5G10150, AT5G13930, AT5G15948, AT5G17170, AT5G17300, AT5G17870, AT5G17890, AT5G20450, AT5G24660, AT5G38410, AT5G38430, AT5G40950	Not available	H3ac.Histone.GSE124414_1.ChIP
983	H2Aub1	H2Aub1	Histone	1.55e-24	2.5358e-21	GSE131756	Col-0	rosette leaf	-	ChIP	NA	NA	NA	NA	NA	NA	AT1G01520, AT1G01580, AT1G06000, AT1G10370, AT1G10960, AT1G12570, AT1G15980, AT1G19150, AT1G19490, AT1G24147, AT1G29720, AT1G30070, AT1G30530, AT1G32080, AT1G35560, AT1G48100, AT1G49630, AT1G55910, AT1G55960, AT1G64590, AT1G64780, AT1G65560, AT1G71870, AT1G78570, AT1G80340, AT2G04790, AT2G17780, AT2G22420, AT2G26850, AT2G27420, AT2G32640, AT2G37040, AT2G39280, AT2G39730, AT2G40020, AT2G42170, AT2G46830, AT2G46940, AT3G01060, AT3G01550, AT3G02380, AT3G02670, AT3G03770, AT3G10185, AT3G10420, AT3G12580, AT3G13510, AT3G19450, AT3G21250, AT3G22840, AT3G24520, AT3G28270, AT3G30460, AT3G47070, AT3G48420, AT3G50560, AT3G51750, AT3G53830, AT3G55330, AT4G01080, AT4G12830, AT4G14540, AT4G14690, AT4G15430, AT4G15630, AT4G28660, AT4G30610, AT5G08640, AT5G10150, AT5G13170, AT5G13930, AT5G15948, AT5G17170, AT5G17890, AT5G24660, AT5G38410, AT5G38430, AT5G40950, AT5G49330, AT5G58310	Not available	H2Aub1.Histone.GSE131756_7.ChIP
255	H2Aub	H2Aub	Histone	2.2e-24	3.5992e-21	GSE122314	ein6-1 (Ler)	seedling	air	ChIP	NA	NA	NA	NA	NA	NA	AT1G01580, AT1G06000, AT1G10370, AT1G10960, AT1G12570, AT1G15980, AT1G19150, AT1G19490, AT1G30070, AT1G30530, AT1G32080, AT1G35560, AT1G48100, AT1G49630, AT1G55910, AT1G55960, AT1G56510, AT1G64590, AT1G64780, AT1G65560, AT1G71870, AT1G78570, AT1G80340, AT2G04790, AT2G22420, AT2G26695, AT2G26850, AT2G27402, AT2G27420, AT2G30100, AT2G37040, AT2G39280, AT2G39730, AT2G40020, AT2G42170, AT2G46830, AT2G46940, AT3G01060, AT3G01550, AT3G02670, AT3G03770, AT3G12580, AT3G13510, AT3G19450, AT3G21250, AT3G22840, AT3G24520, AT3G30460, AT3G48420, AT3G51750, AT3G53830, AT3G55330, AT4G14540, AT4G14690, AT4G15630, AT4G28660, AT4G30610, AT5G08640, AT5G10150, AT5G13170, AT5G13930, AT5G15948, AT5G17870, AT5G24660, AT5G38410, AT5G40950, AT5G49330, AT5G58310	Not available	H2Aub.Histone.GSE122314_13.ChIP
