Term	Gene	Log2(FoldChange)	PValue	Compare_Sample_ID	Compare_Sample_Info	Factor	Condition	Tissue	Category,,,,,,,
GSE5615_6	AT1G59750	-1.2102315779459398	0.000263805761527549	GSM131128,GSM131142,GSM131114 / GSM131135,GSM131149,GSM131121	leaves_infiltrated_with_100¦Ìg/ml_LPS_from_P.syringae_pv.tomato_DC3000_harvested_4_hours_later / leaves_infiltrated_with_100¦Ìg/ml_LPS_from_P.syringae_pv.tomato_DC3000_harvested_1_hour_later	DC3000 infection	Infiltrated with 100¦Ìg/ml LPS from P.syringae pv.tomato DC3000 for 1h or 4h	5 weeks-old leaves 	Treatment,,,
GSE20044_1	AT1G59750	-1.21052305912033	0.005443407441783579	GSM501188,GSM501189 / GSM501184,GSM501185	3m.KNO3 / To	KNO3 treatment	KNO3_treatment_for_3min / no_treatment	14 day-old Roots	Treatment,,,,,
GSE6556_1	AT1G59750	-1.2121151066528302	0.00580037830794063	GSM151703,GSM151704,GSM151705 / GSM151697,GSM151698,GSM151699	gh3.5-1D_48_hpi / gh3.5-1D_uninoculated	Pathogen response	infection_with_Pst_DC3000(avrRpt2)_for_48h / uninoculated	5 week-old leaves	Treatment,,,
GSE45677_0	AT1G59750	-1.2131620182542902	0.005778752624902321	GSM1111758,GSM1111759 / GSM1111756,GSM1111757	Treated / control	GSH treatment	treated_with_GSH / no_treatment	15 day-old seedlings	Treatment,,,,,
GSE17464_16	AT1G59750	-1.27929518946315	0.00264674466239554	GSM435757,GSM435758,GSM435759 / GSM435739,GSM435740,GSM435741	Laer_pretreat_with_GA_Flg22_2h / Laer_pretreat_with_water_control	Flg22+GA treatment	GA_+100nM_Flg22_2h / water	5 weeks old leaf discs on short day	Treatment,,,
GSE5700_0	AT1G59750	-1.3141386623812399	0.00235553614686075	GSM133307,GSM133310 / GSM133303,GSM133304	24_h_imbibed_seed_in_3_uM_ABA / dry_seed_no_treatment	ABA treatment	3uM_ABA_for_24h / no_treatment	seeds	Treatment,,,,,
GSE5700_1	AT1G59750	-1.3189218401122902	0.00270533253903211	GSM133308,GSM133309 / GSM133303,GSM133304	24_h_imbibed_seed_in_30_uM_ABA / dry_seed_no_treatment	ABA treatment	30uM_ABA_for_24h / no_treatment	seeds	Treatment,,,,,
GSE30223_6	AT1G59750	-1.3316529508058101	0.00133966024879507	GSM748490,GSM748491,GSM748492 / GSM748469,GSM748470,GSM748471	seed_germinating_in_countinuous_light_24_h_SL / dry_seed_0_h	Light treatment	light_for_24h / no_treatment	Seeds	Treatment,,,
GSE5520_6	AT1G59750	-1.3398706100948	0.00240180057622736	GSM128675,GSM128676,GSM128677 / GSM128669,GSM128670,GSM128671	Underwood_1_DC3000-10e8-7h / Underwood_1_hrpAfliC-10e8-7h	Pathogen response	DC3000_bacteria_infected_for_7h / DC3000_hrpAfliC_double_mutant_bacteria_infected_for_7h	Leaves	Treatment,,,
GSE8955_20	AT1G59750	-1.34439610295892	0.0009699886097174721	GSM226919,GSM226920 / GSM226911,GSM226912	cop1-6_Seedling_BL+ABA / cop1-6_Seedling_BL	ABA treatment	Constant blue-light	10 day-old seedlings	Treatment,,,,,
GSE5621_10	AT1G59750	-1.3655438142071998	0.00405847526548138	GSM131279,GSM131280 / GSM131255,GSM131256	AtGen_6-1611_Cold(4C)-Shoots-24.0h_Rep1 / AtGen_6-0611_Control-Shoots-24.0h_Rep1	Cold stress	4C_for_24h / no_treatment	Shoots	Treatment,,,,,
GSE28800_4	AT1G59750	-1.3710334980619698	0.000734423256066912	GSM713258,GSM713259,GSM713260 / GSM713255,GSM713256,GSM713257	ABADFPM / ABA	DFPM treatment	DFPM_+_ABA_treatment / ABA_treatment	12 day-old seedlings	Treatment,,,
GSE7641_1	AT1G59750	-1.38118938765994	0.00715125378475938	GSM184913,GSM184914,GSM184915 / GSM184895,GSM184896,GSM184897	root_cells_cortex_140_mM_NaCl / root_cells_cortex_standard_conditions	NaCl treatment	140mM_NaCl_for_1h / no_treatment	Seedling roots, 6 days after germination	Treatment,,
GSE17464_17	AT1G59750	-1.3820671582590902	0.00210557721107632	GSM435760,GSM435761,GSM435762 / GSM435739,GSM435740,GSM435741	Laer_pretreat_with_GA+JA_Flg22_0h / Laer_pretreat_with_water_control	GA+JA treatment	GA_+100nM_Flg22_+_JA_0h / water	5 weeks old leaf discs on short day	Treatment,,,
GSE34047_4	AT1G59750	-1.4473980020955401	0.000337363730272946	GSM840975,GSM840976,GSM840977 / GSM840972,GSM840973,GSM840974	tbf1-elf / tbf1-melf	elf treatment	10_uM_elf18_for_2h_(infiltration) / water_for_2h_(infiltration)	3 weeks old mature leaf	Treatment,,,
GSE21920_0	AT1G59750	-1.4588108366907	0.00020257245508365502	GSM545367,GSM545364,GSM545372 / GSM545376,GSM545377,GSM545378	colhop / col	Pathogen response	bacteria_pto_expressing_hopz1a__treatment_for_6h / no_treatment	Leaves	Treatment,,,
GSE17464_15	AT1G59750	-1.4823791111287201	0.0046958129741384	GSM435754,GSM435755,GSM435756 / GSM435739,GSM435740,GSM435741	Laer_pretreat_with_GA_Flg22_1h / Laer_pretreat_with_water_control	Flg22+GA treatment	GA_+100nM_Flg22_1h / water	5 weeks old leaf discs on short day	Treatment,,,
GSE17464_21	AT1G59750	-1.4987384698854198	0.00218141000160824	GSM435745,GSM435746,GSM435747 / GSM435739,GSM435740,GSM435741	Laer_pretreat_with_JA_Flg22_1h / Laer_pretreat_with_water_control	JA treament	JA_+_100nM_Flg22_1h / water	5 weeks old leaf discs on short day	Treatment,,,
GSE17464_19	AT1G59750	-1.5294809935614802	0.00046196249042657197	GSM435766,GSM435767,GSM435768 / GSM435739,GSM435740,GSM435741	Laer_pretreat_with_GA+JA_Flg22_2h / Laer_pretreat_with_water_control	GA+JA treatment	GA_+100nM_Flg22_+_JA_2h / water	5 weeks old leaf discs on short day	Treatment,,,
GSE27508_0	AT1G59750	-1.54051179738002	0.000581964936016134	GSM679546,GSM679547,GSM679548 / GSM679543,GSM679544,GSM679545	35-day-old_hypocotyls_with_auxin_treatment_for_1_day / 35-day-old_hypocotyls_without_auxin_treatment	Auxin treatment	with_auxin_treatment_for_1_day / without_auxin_treatment	35 day-old hypocotyls	Treatment,,,
GSE5700_2	AT1G59750	-1.5687615612752501	0.00265362456809555	GSM133305,GSM133306 / GSM133303,GSM133304	24_h_imbibed_seed_in_water / dry_seed_no_treatment	Water treatment	water_for_24h / no_treatment	seeds	Treatment,,,,,
GSE17464_18	AT1G59750	-1.5943627716372701	0.00492011776432855	GSM435763,GSM435764,GSM435765 / GSM435739,GSM435740,GSM435741	Laer_pretreat_with_GA+JA_Flg22_1h / Laer_pretreat_with_water_control	GA+JA treatment	GA_+100nM_Flg22_+_JA_1h / water	5 weeks old leaf discs on short day	Treatment,,,
GSE30223_14	AT1G59750	-1.5995545388630301	0.0020323901947284896	GSM748493,GSM748494,GSM748495 / GSM748481,GSM748482,GSM748483	seed_germinating_in_countinuous_light_48_h_SL / seed_germinating_in_countinuous_light_1_h_SL	Light treatment	light_for_48h / light_for_1h	Seeds	Treatment,,,
GSE57145_0	AT1G59750	-1.8133548432266298	1.1878906417966699e-05	GSM1375960,GSM1375961,GSM1375962 / GSM1375957,GSM1375958,GSM1375959	8-DAC_chr11-1chr17-1 / Time-0_chr11-1chr17-1	Callus formation	leaf_explants_cultured_in_CIM_for_8_days / leaf_explants_cultured_in_CIM_for_0_day	Leaf explants	Treatment,,,
GSE21920_2	AT1G59750	-1.96028071003642	0.000791054458830983	GSM545375,GSM545368,GSM545363 / GSM545376,GSM545377,GSM545378	colmut / col	Pathogen response	bacteria_pto_expressing_the_hopz1ac216a_treatment_for_6h / no_treatment	Leaves	Treatment,,,
GSE30223_7	AT1G59750	-1.99878092566122	0.000276474127340551	GSM748493,GSM748494,GSM748495 / GSM748469,GSM748470,GSM748471	seed_germinating_in_countinuous_light_48_h_SL / dry_seed_0_h	Light treatment	light_for_48h / no_treatment	Seeds	Treatment,,,
GSE28800_2	AT1G59750	-2.10171397919684	0.000708842731271818	GSM713258,GSM713259,GSM713260 / GSM713249,GSM713250,GSM713251	ABADFPM / control	DFPM+ABA treatment	DFPM_+_ABA_treatment / no_treatment	12 day-old seedlings	Treatment,,,
GSE26297_17	AT1G59750	-2.24931925487558	0.0060499994921531	GSM645708,GSM645709 / GSM645694,GSM645695	wild_type_(Ler)_TSA / wild_type_(Ler)_CK200	Cytokinin treatment	cultured_on_CIM_in_the_presence_of_TSA / Cultured_on_CIM_in_the_presence_of_high_level_of_cytokinin	Hypocotyl segments	Treatment,,,,,
GSE8975_1	AT1G59750	1.5416976069311699	0.000360652706813235	GSM227495,GSM227496,GSM227497 / GSM227498,GSM227499,GSM227500	GVGdvl4dex / GVGdvl4mock	DVL4	dexamethazone_treatment_for_10h / mock_treatment_for_10h	Fully expanded rosette leaves	Mutation_or_Overexpression,,,
GSE7211_4	AT1G59750	1.51968012802028	0.00899362910569584	GSM173450,GSM173451 / GSM173445,GSM173446,GSM173447	oxt6:AtCPSF30_line_6 / oxt6_mutant	CPSF30	No treatment	30 day-old plants	Mutation_or_Overexpression,,,,
GSE69167_1	AT1G59750	1.44873129723522	0.0046983978663074	GSM1694254,GSM1694255,GSM1694256 / GSM1694245,GSM1694246,GSM1694247	Cambium_stem_soc1ful / Cambium_stem_WT	soc1ful	No treatment	Cambium stem	Mutation_or_Overexpression,,,
GSE56922_9	AT1G59750	1.38141965689519	0.00750409802398232	GSM1371367,GSM1371368 / GSM1371363,GSM1371364	mock_T474D_20_days / mock_Col0_20_days	T474D	No treatment	Leaves at the seven-leaf stage	Mutation_or_Overexpression,,,,,
GSE5632_7	AT1G59750	1.34242072084275	0.0006046083451711389	GSM131618,GSM131619,GSM131620 / GSM131615,GSM131616,GSM131617	ATGE_54_lfy-12_flower_stage_12_equivalent_continuous_light_soil / ATGE_53_clv3-7_flower_stage_12_equivalent_continuous_light_soil	lfy,clv3	Under continous light	Flowers from different developmental stages	Mutation_or_Overexpression,,
GSE10019_0	AT1G59750	1.26544103564379	0.00183491177224432	GSM253194,GSM253196,GSM253198 / GSM253199,GSM253200,GSM253201	RGA-GR-DEX / Nontransgenic(ga1-3rgargl2)-DEX	ga1,rag,rgl2	DEX treatment 4h	Arabidopsis inflorescence without flowers later than stage 12	Mutation_or_Overexpression,
GSE32216_0	AT1G59750	1.16941150637296	0.0274933345964377	GSM798297,GSM798298 / GSM798295,GSM798296	skip_rep1 / WT_rep1	skip	No treatment	7 day-old seedling	Mutation_or_Overexpression,,,,,
GSE69167_0	AT1G59750	1.14161280490699	0.0279194660994352	GSM1694251,GSM1694252,GSM1694253 / GSM1694242,GSM1694243,GSM1694244	Herbaceous_stem_soc1ful / Herbaceous_stem_WT	soc1ful	No treatment	Herbaceous stem	Mutation_or_Overexpression,,,
GSE6151_7	AT1G59750	1.1112683120781102	8.51510267814068e-05	GSM142653,GSM142654,GSM142655 / GSM142650,GSM142651,GSM142652	MC002_dubos-max4_hypocotyl / MC002_ATH-dubos-hypocotyl(col-0)	max4	No treatment	Hypocotyl	Mutation_or_Overexpression,,,
GSE7211_3	AT1G59750	1.08091397906497	0.008262088851411659	GSM173448,GSM173449 / GSM173445,GSM173446,GSM173447	oxt6:AtCPSF30_line_5 / oxt6_mutant	CPSF30	No treatment	30 day-old plants	Mutation_or_Overexpression,,,,
GSE8975_2	AT1G59750	1.0733466709904	0.0019200684111641102	GSM227495,GSM227496,GSM227497 / GSM227484,GSM227493,GSM227494	GVGdvl4dex / emptyvectordex	DVL4	Dexamethazone treatment for 10h	Fully expanded rosette leaves	Mutation_or_Overexpression,,,
GSE5632_8	AT1G59750	1.01487619028493	0.0005065273458074019	GSM131621,GSM131622,GSM131623 / GSM131615,GSM131616,GSM131617	ATGE_55_ap1-15_flower_stage_12_equivalent_continuous_light_soil / ATGE_53_clv3-7_flower_stage_12_equivalent_continuous_light_soil	clv3,ap1	Under continous light	Flowers from different developmental stages	Mutation_or_Overexpression,,
GSE5699_0	AT1G59750	-1.01833064228643	0.0016457767511242	GSM133300,GSM133301,GSM133302 / GSM133297,GSM133298,GSM133299	Arr21c-ox / Col-0	ARR21C	No treatment	21 day-old plants, vegetative stage	Mutation_or_Overexpression,,
GSE8955_14	AT1G59750	-1.06539242888066	0.00276512567959355	GSM226921,GSM226922 / GSM226919,GSM226920	atmyc2_cop1-6_Seedling_BL+ABA / cop1-6_Seedling_BL+ABA	myc2	Constant blue-light	10 day-old seedlings	Mutation_or_Overexpression,,,,,
GSE10248_0	AT1G59750	-1.09440381522148	0.00873572591356676	GSM258792,GSM258793,GSM258794 / GSM258795,GSM258796,GSM258797	pvip1_pvip2_seedling / Col-0_seedling	pvip1,pvip2	No treatment	Seedling 10 days after germination	Mutation_or_Overexpression,,
GSE50019_3	AT1G59750	-1.1450771553998	0.00269949048869603	GSM1212490,GSM1212491,GSM1212492 / GSM1212481,GSM1212482,GSM1212483	35S:RPS4_rrs1-11_24h / 35S:RPS4_rrs1-11_T0	RPS4,rrs1	19C_for_24h / no_treatment	3.5 week-old leaves	Mutation_or_Overexpression,,
GSE8955_7	AT1G59750	-1.1561543981316298	0.000564985165687817	GSM226919,GSM226920 / GSM226915,GSM226916	cop1-6_Seedling_BL+ABA / WT_Seedling_BL+ABA	cop1	Constant blue-light	10 day-old seedlings	Mutation_or_Overexpression,,,,,
GSE40354_10	AT1G59750	-1.21645859183642	0.000354618098683094	GSM991914,GSM991915,GSM991916 / GSM991908,GSM991909,GSM991910	bak1_pep2_10h / WT_pep2_10h	bak1	1 uM Pep2 treatment for 10h	10-12 day-old whole seedlings	Mutation_or_Overexpression,,,
GSE50019_10	AT1G59750	-1.2500264612956	0.000294717867539611	GSM1212466,GSM1212467,GSM1212468 / GSM1212478,GSM1212479,GSM1212480	35S:RPS4_24h / 35S:RPS4_eds1-2_24h	eds1	19C for 24h	3.5 week-old leaves	Mutation_or_Overexpression,,,
GSE50019_9	AT1G59750	-1.37787225276592	0.00098945560961163	GSM1212490,GSM1212491,GSM1212492 / GSM1212478,GSM1212479,GSM1212480	35S:RPS4_rrs1-11_24h / 35S:RPS4_eds1-2_24h	eds1,rrs1	19C for 24h	3.5 week-old leaves	Mutation_or_Overexpression,,
GSE70584_0	AT1G59750	-1.60207867093458	1.53925905830522e-06	GSM1811239,GSM1811242,GSM1811244 / GSM1811230,GSM1811234,GSM1811237	myb_en / col_en	myb	6 days post exposure to light	Sorted endodermis	Mutation_or_Overexpression,,,
GSE87506_0	AT1G59750	-5.15662480802792	6.477718412057688e-169	GSM2332899,GSM2332900,GSM2332901 / GSM2332896,GSM2332897,GSM2332898	camta1/2/3/sid2_ZT12 / WT_ZT12	camta1,2,3,sid2	No treatment	Entire aerial part of 21 days after germination	Mutation_or_Overexpression
GSE20005_1	AT1G59750	1.02344699129965	0.00513208226598939	GSM499684,GSM499691 / GSM499688,GSM499695	4xX2x_interploidy_cross / fis1X2x_fis1_mutant_cross	fis1X2x,4xX2x	No treatment	Siliques from 7 days after flowering	Ecotype_or_Cultivar,,,,
