Term	Gene	Log2(FoldChange)	PValue	Compare_Sample_ID	Compare_Sample_Info	Factor	Condition	Tissue	Category,,,,,,,,
GSE5621_1	AT2G30470	1.4579100566333703	0.0045490894396700106	GSM131261,GSM131262 / GSM131233,GSM131234	AtGen_6-1121_Cold(4C)-Roots-0.5h_Rep1 / AtGen_6-0121_Control-Roots-0.5h_Rep1	Cold stress	4C_for_0.5h / no_treatment	Roots	Treatment,,,,,,
GSE5624_24	AT2G30470	1.3504467339775699	0.00371302125060936	GSM131345,GSM131346 / GSM131225,GSM131226	Droughtstress-Roots-3.0h / Control-Roots-0h	Drought stress	drought_stress_for_3h / no_treatment	Roots	Treatment,,,,,,
GSE6174_6	AT2G30470	1.33686959529108	0.0025736379842711	GSM142805,GSM142816 / GSM142798,GSM142809,GSM142808,GSM142819	smith-14h_SRC / smith-00h_SRC	Carbohydrate metabolism	Sampling leaves at eleven different time points	Leaves	Treatment,,,,
GSE6174_4	AT2G30470	1.3058632264616898	0.00870588940493828	GSM142803,GSM142814 / GSM142798,GSM142809,GSM142808,GSM142819	smith-12h_SRC / smith-00h_SRC	Carbohydrate metabolism	Sampling leaves at eleven different time points	Leaves	Treatment,,,,
GSE19264_15	AT2G30470	1.29557015957778	0.00836501272259267	GSM477936,GSM477945,GSM477954 / GSM477933,GSM477942,GSM477951	Truman_2_21h-hrpA / Truman_2_12h-hrpA	Pathogen response	hrpA_infected_for_21h / hrpA_infected_for_12h	4 week-old leaves	Treatment,,,,
GSE10502_3	AT2G30470	1.28876658261186	0.00667088930326982	GSM265471,GSM265472 / GSM265461,GSM265462	whole_roots_-Fe_48_hour / whole_roots_standard_conditions	Fe deficiency 	Fe_deficiency / standard_media	Seedling roots, 5 days after germination	Treatment,,,,,
GSE5624_21	AT2G30470	1.2552316115541202	0.00017921346625133602	GSM131333,GSM131334 / GSM131225,GSM131226	Droughtstress-Roots-0.25h / Control-Roots-0h	Drought stress	drought_stress_for_0.25h / no_treatment	Roots	Treatment,,,,,,
GSE5622_22	AT2G30470	1.25411473973191	0.00238030289699824	GSM131301,GSM131302 / GSM131225,GSM131226	Osmoticstress-Roots-12.0h / Control-Roots-0h	Osmotic stress	300mM_mannitol_for_12h / no_treatment	Roots	Treatment,,,,,,
GSE78735_161	AT2G30470	1.21864028647534	0.000388422151725219	GSM2074925,GSM2075044,GSM2075163 / GSM2074891,GSM2075010,GSM2075129	flg22_2_hrs_ein2-1_pad4-1 / flg22_0_hrs_ein2-1_pad4-1	flg22 infiltration	2h_after_flg22_infiltration / 0h_after_flg22_infiltration	31-32 day-old leaves	Treatment,,,,
GSE5624_7	AT2G30470	1.2173568867457198	0.00274632792984429	GSM131345,GSM131346 / GSM131241,GSM131242	Droughtstress-Roots-3.0h / Control-Roots-3.0h	Drought stress	drought_stress_for_3h / no_treatment	Roots	Treatment,,,,,,
GSE15689_1	AT2G30470	1.19330311041294	0.000321519940222493	GSM392692,GSM392693,GSM392694 / GSM392560,GSM392683,GSM392684	tfl1-1-23C / tfl1-1-16C	Temperature treatment	23_degree_for_10_days / 16_degree_for_10_days	10 day-old seedlings	Treatment,,,,
GSE35580_1	AT2G30470	-1.19775281292241	0.009625703669995671	GSM871257,GSM871258,GSM871259 / GSM871254,GSM871255,GSM871256	epidermis_auxin / epidermis_control	Auxin treatment	5_uM_IAA / mock	The epidermis of one-week-old seedlings 	Treatment,,,,
GSE5621_17	AT2G30470	-1.27037307479683	0.00425669075423661	GSM131279,GSM131280 / GSM131223,GSM131224	AtGen_6-1611_Cold(4C)-Shoots-24.0h_Rep1 / AtGen_6-0011_Control-Shoots-0h_Rep1	Cold stress	4C_for_24h / no_treatment	Shoots	Treatment,,,,,,
GSE39090_1	AT2G30470	-1.27435710485633	0.007262406920168241	GSM955995,GSM955996 / GSM955991,GSM955992	rcf1-1_cold_24_h / rcf1-1_cold_0_h	Cold stress	cold_at_4C_for_24h / no_treatment	14 day-old seedlings	Treatment,,,,,,
GSE35580_0	AT2G30470	-1.33274027144927	0.000750122762937776	GSM871263,GSM871264,GSM871265 / GSM871260,GSM871261,GSM871262	columella_auxin / columella_control	Auxin treatment	5_uM_IAA / mock	The columella of one-week-old seedlings 	Treatment,,,,
GSE5616_0	AT2G30470	-1.36701016758928	0.00373690172183277	GSM131154,GSM131155,GSM131156 / GSM131151,GSM131152,GSM131153	AtGen_C-C-12 / AtGen_C-C-6	Water treatment	Water infiltrated or 6h or 12h	5 weeks-old leaves 	Treatment,,,,
GSE5626_1	AT2G30470	-1.37718994048675	0.00678166058355856	GSM131385,GSM131386 / GSM131229,GSM131230	UV-Bstress-Roots-0.25h / Control-Roots-0.25h	UV-B stress	UV-B_stress_for_0.25h / no_treatment	Roots	Treatment,,,,,,
GSE34047_3	AT2G30470	-1.38671817942429	0.000202020648789736	GSM840969,GSM840970,GSM840971 / GSM840957,GSM840958,GSM840959	tbf1-SA / WT-SA	SA treatment	1 mM SA for 6 h (spray)	3 weeks old mature leaf	Treatment,,,,
GSE5628_13	AT2G30470	-1.4325447847998798	6.665951885968791e-05	GSM131465,GSM131466 / GSM131253,GSM131254	Heatstress(3h)+9hrecovery-Roots-12.0h / Control-Roots-12.0h	Heat stress	38C_for_3h_and_9h_recovery_at_25C / no_treatment	Roots	Treatment,,,,,,
GSE5626_0	AT2G30470	-1.48357317353484	0.00036530301368228397	GSM131383,GSM131384 / GSM131227,GSM131228	UV-Bstress-Shoots-0.25h / Control-Shoots-0.25h	UV-B stress	UV-B_stress_for_0.25h / no_treatment	Shoots	Treatment,,,,,,
GSE30223_12	AT2G30470	-1.4973752083937202	0.00857564276591748	GSM748487,GSM748488,GSM748489 / GSM748481,GSM748482,GSM748483	seed_germinating_in_countinuous_light_12_h_SL / seed_germinating_in_countinuous_light_1_h_SL	Light treatment	light_for_12h / light_for_1h	Seeds	Treatment,,,,
GSE3416_2	AT2G30470	-1.52006596862079	0.000176162786277967	GSM77064,GSM77065,GSM77066 / GSM77055,GSM77056,GSM77057	12h_Col-0 / 00h_Col-0	Day-night cycle	No treatment	5 weeks after germination the rosettes of the non-flowering plants	Treatment,,,,
GSE90077_1	AT2G30470	-1.8671701550773898	0.0412108026117241	GSM2397329,GSM2397330 / GSM2397325,GSM2397326	50uM_MeJA_8h / 50uM_MeJA_1h	MeJA treatment	50uM MEJA treatment 	2 weeks-old seedlings	Treatment,,,,,,
GSE5615_1	AT2G30470	-2.10614810919962	0.0015964959222739	GSM131137,GSM131109,GSM131123 / GSM131130,GSM131116,GSM131144	leaves_infiltrated_with_1_mM_CaCl2_+_2.5_mM_MgCl2_harvested_4_hours_later / leaves_infiltrated_with_1_mM_CaCl2_+_2.5_mM_MgCl2_harvested_1_hour_later	CaCl2+MgCl2 treatment	Infiltrated with 1 mM CaCl2 + 2.5 mM MgCl2 for 1h or 4h	5 weeks-old leaves 	Treatment,,,,
GSE5615_6	AT2G30470	-2.19887647198175	0.00317355736486817	GSM131128,GSM131142,GSM131114 / GSM131135,GSM131149,GSM131121	leaves_infiltrated_with_100¦Ìg/ml_LPS_from_P.syringae_pv.tomato_DC3000_harvested_4_hours_later / leaves_infiltrated_with_100¦Ìg/ml_LPS_from_P.syringae_pv.tomato_DC3000_harvested_1_hour_later	DC3000 infection	Infiltrated with 100¦Ìg/ml LPS from P.syringae pv.tomato DC3000 for 1h or 4h	5 weeks-old leaves 	Treatment,,,,
GSE30223_13	AT2G30470	-2.3109612406215803	0.000123319359909178	GSM748490,GSM748491,GSM748492 / GSM748481,GSM748482,GSM748483	seed_germinating_in_countinuous_light_24_h_SL / seed_germinating_in_countinuous_light_1_h_SL	Light treatment	light_for_24h / light_for_1h	Seeds	Treatment,,,,
GSE5628_0	AT2G30470	-2.31901916473907	0.00170750558472736	GSM131439,GSM131440 / GSM131227,GSM131228	Heatstress-Shoots-0.25h / Control-Shoots-0.25h	Heat stress	38C_for_0.25h / no_treatment	Shoots	Treatment,,,,,,
GSE30223_14	AT2G30470	-2.65243968080099	0.00046157945946123896	GSM748493,GSM748494,GSM748495 / GSM748481,GSM748482,GSM748483	seed_germinating_in_countinuous_light_48_h_SL / seed_germinating_in_countinuous_light_1_h_SL	Light treatment	light_for_48h / light_for_1h	Seeds	Treatment,,,,
GSE5615_0	AT2G30470	-2.83145012685697	0.00031780404586862003	GSM131136,GSM131150,GSM131122 / GSM131115,GSM131129,GSM131143	leaves_infiltrated_with_water_harvested_4_hours_later / leaves_infiltrated_with_water_harvested_1_hour_later	Water treatment	Infiltrated with water for 1h or 4h	5 weeks-old leaves 	Treatment,,,,
GSE3959_2	AT2G30470	4.03538935458242	0.0020549410263462197	GSM90296,GSM90297 / GSM90298,GSM90299	Transgenic_LEC2GR_Seedling_4h_Dex / Wild-Type_WS-O_Seedling_4h_Dex	LEC2	Dex treated for 4h	8 day-old seedling	Mutation_or_Overexpression,,,,,,
GSE3959_1	AT2G30470	3.55138149849438	0.0014496623135570302	GSM90296,GSM90297 / GSM90292,GSM90293	Transgenic_LEC2GR_Seedling_4h_Dex / Transgenic_LEC2GR_Seedling_0h_Dex	LEC2	Dex_treated_for_4h / Dex_treated_for_0h	8 day-old seedling	Mutation_or_Overexpression,,,,,,
GSE3959_0	AT2G30470	3.0627239930151404	0.00420662905702279	GSM90294,GSM90295 / GSM90292,GSM90293	Transgenic_LEC2GR_Seedling_1h_Dex / Transgenic_LEC2GR_Seedling_0h_Dex	LEC2	Dex_treated_for_1h / Dex_treated_for_0h	8 day-old seedling	Mutation_or_Overexpression,,,,,,
GSE25134_2	AT2G30470	2.79560236945061	1.3622260956829302e-05	GSM617572,GSM617573,GSM617574 / GSM617575,GSM617576,GSM617577	bzr1-1Dxbri1-116 / bri1-116	bzr1	Grow in the dark for 108 hours	seedling	Mutation_or_Overexpression,,,,
GSE25134_0	AT2G30470	2.6134651342744903	0.000137182289017301	GSM617572,GSM617573,GSM617574 / GSM617578,GSM617579,GSM617580	bzr1-1Dxbri1-116 / Col	bzr1,bri1	Grow in the dark for 108 hours	seedling	Mutation_or_Overexpression,,,
GSE83568_2	AT2G30470	2.2763514047304403	1.83161067889227e-30	GSM2209717,GSM2209718 / GSM2209709,GSM2209710	abc_10DAG / WT_10DAG	bmi1a,bmi1b,bmi1c	No treatment	10 day-old seedlings	Mutation_or_Overexpression,,,,
GSE17499_6	AT2G30470	1.85049931975815	0.00952259731465189	GSM436272,GSM436273,GSM436274 / GSM436269,GSM436270,GSM436271	wnk_8-2_untreated / wnk_8-1_untreated	wnk8	No treatment	2 week-old seedlings	Mutation_or_Overexpression,,,,
GSE56922_6	AT2G30470	1.7966848081861397	0.0343755172056736	GSM1371359,GSM1371360 / GSM1371351,GSM1371352	mock_T474D_10_days / mock_Col0_10_days	T474D	No treatment	Leaves at the seven-leaf stage	Mutation_or_Overexpression,,,,,,
GSE32216_0	AT2G30470	1.79455576111521	0.0037665892084870296	GSM798297,GSM798298 / GSM798295,GSM798296	skip_rep1 / WT_rep1	skip	No treatment	7 day-old seedling	Mutation_or_Overexpression,,,,,,
GSE7211_4	AT2G30470	1.79113028232705	6.27052746965531e-06	GSM173450,GSM173451 / GSM173445,GSM173446,GSM173447	oxt6:AtCPSF30_line_6 / oxt6_mutant	CPSF30	No treatment	30 day-old plants	Mutation_or_Overexpression,,,,,
GSE83568_4	AT2G30470	1.7512603599866798	7.53123589306599e-14	GSM2209717,GSM2209718 / GSM2209711,GSM2209712	abc_10DAG / a_10DAG	bmi1b,bmi1c	No treatment	10 day-old seedlings	Mutation_or_Overexpression,,,,,
GSE50019_14	AT2G30470	1.6780173736503703	0.00241543975469002	GSM1212463,GSM1212464,GSM1212465 / GSM1212475,GSM1212476,GSM1212477	35S:RPS4_8h / 35S:RPS4_eds1-2_8h	eds1	19C for 8h	3.5 week-old leaves	Mutation_or_Overexpression,,,,
GSE46456_0	AT2G30470	1.65838883168774	0.00021017368272948001	GSM1130599,GSM1130600,GSM1130601 / GSM1130596,GSM1130597,GSM1130598	7d-old_bri1-5_mutant_seedling_grown_under_red_light / 7d-old_wild_type_seedling_grown_under_red_light	bri1	Under continuous red light	7 day-old whole seedlings	Mutation_or_Overexpression,,,,
GSE15939_1	AT2G30470	1.6145821333493302	0.00044873193606060594	GSM399907,GSM399908,GSM399909 / GSM399895,GSM399896,GSM399897	psd1-1_stn7-1 / Col-0	psd1,stn7	No treatment	rosette leaves of 4-week-old plants	Mutation_or_Overexpression,,,
GSE15939_0	AT2G30470	1.58680185803032	0.0074234360448429	GSM399903,GSM399904 / GSM399895,GSM399896,GSM399897	psd1-1 / Col-0	psd1	No treatment	rosette leaves of 4-week-old plants	Mutation_or_Overexpression,,,,,
GSE19520_10	AT2G30470	1.5525235020853	0.00810099536329349	GSM486934,GSM486935,GSM486936 / GSM486928,GSM486929,GSM486930	gpa1_+ABA_LF / Col-0_+ABA_LF	gpa1	50uM ABA treated for 3h	Leaves of five week-old plants	Mutation_or_Overexpression,,,,
GSE15939_2	AT2G30470	1.4826800722646	0.00016504055587196102	GSM399905,GSM399906 / GSM399895,GSM399896,GSM399897	pse1-3 / Col-0	pse1	No treatment	rosette leaves of 4-week-old plants	Mutation_or_Overexpression,,,,,
GSE10019_0	AT2G30470	1.47084181177959	0.0036393844866836798	GSM253194,GSM253196,GSM253198 / GSM253199,GSM253200,GSM253201	RGA-GR-DEX / Nontransgenic(ga1-3rgargl2)-DEX	ga1,rag,rgl2	DEX treatment 4h	Arabidopsis inflorescence without flowers later than stage 12	Mutation_or_Overexpression,,
GSE31593_1	AT2G30470	1.47019007430235	6.30683870461138e-05	GSM784913,GSM784914,GSM784915 / GSM784907,GSM784908,GSM784909	genotype:_Triple_mutant_grf1/grf2/grf3 / genotype:_thaliana_ecotypes_Col-0	grf1,grf2,grf3	No treatment	2 week-old roots	Mutation_or_Overexpression,,
GSE50019_8	AT2G30470	1.45151717107792	0.00230784321450764	GSM1212463,GSM1212464,GSM1212465 / GSM1212457,GSM1212458,GSM1212459	35S:RPS4_8h / 35S:RPS4_T0	RPS4	19C_for_8h / no_treatment	3.5 week-old leaves	Mutation_or_Overexpression,,,,
GSE50019_5	AT2G30470	1.40347806188922	0.00340652591628655	GSM1212487,GSM1212488,GSM1212489 / GSM1212481,GSM1212482,GSM1212483	35S:RPS4_rrs1-11_8h / 35S:RPS4_rrs1-11_T0	RPS4,rrs1	19C_for_8h / no_treatment	3.5 week-old leaves	Mutation_or_Overexpression,,,
GSE17499_3	AT2G30470	1.38247612002967	0.00780948760999516	GSM436272,GSM436273,GSM436274 / GSM436260,GSM436261,GSM436262	wnk_8-2_untreated / Col-0_untreated	wnk8	No treatment	2 week-old seedlings	Mutation_or_Overexpression,,,,
GSE7211_2	AT2G30470	1.36500308777343	2.0252549103884197e-05	GSM173450,GSM173451 / GSM173442,GSM173443,GSM173444	oxt6:AtCPSF30_line_6 / wild-type	oxt6,CPSF30	No treatment	30 day-old plants	Mutation_or_Overexpression,,,,
GSE69167_1	AT2G30470	1.2095206123301299	0.0223184545483945	GSM1694254,GSM1694255,GSM1694256 / GSM1694245,GSM1694246,GSM1694247	Cambium_stem_soc1ful / Cambium_stem_WT	soc1ful	No treatment	Cambium stem	Mutation_or_Overexpression,,,,
GSE69167_0	AT2G30470	1.17205116715861	0.025202529375488	GSM1694251,GSM1694252,GSM1694253 / GSM1694242,GSM1694243,GSM1694244	Herbaceous_stem_soc1ful / Herbaceous_stem_WT	soc1ful	No treatment	Herbaceous stem	Mutation_or_Overexpression,,,,
GSE5632_8	AT2G30470	1.1690471350599398	0.0017929787091457102	GSM131621,GSM131622,GSM131623 / GSM131615,GSM131616,GSM131617	ATGE_55_ap1-15_flower_stage_12_equivalent_continuous_light_soil / ATGE_53_clv3-7_flower_stage_12_equivalent_continuous_light_soil	clv3,ap1	Under continous light	Flowers from different developmental stages	Mutation_or_Overexpression,,,
GSE15939_3	AT2G30470	1.14708361300959	0.00469028971357182	GSM399910,GSM399911 / GSM399895,GSM399896,GSM399897	pse1-3_stn7-1 / Col-0	pse1,stn7	No treatment	rosette leaves of 4-week-old plants	Mutation_or_Overexpression,,,,
GSE83568_3	AT2G30470	1.1121817794439899	3.6597739563979996e-07	GSM2209715,GSM2209716 / GSM2209711,GSM2209712	ab_strong_10DAG / a_10DAG	bmi1b	No treatment	10 day-old seedlings	Mutation_or_Overexpression,,,,,,
GSE75071_1	AT2G30470	1.06288734382981	0.00014579491177738702	GSM1942143,GSM1942144,GSM1942145,GSM1942146,GSM1942147 / GSM1942140,GSM1942141,GSM1942142	met1_sdg78 / WT	met1,sdg7,sdg8	No treatment	Aerial tissue	Mutation_or_Overexpression
GSE7211_1	AT2G30470	1.04271525665067	0.00179623619610215	GSM173448,GSM173449 / GSM173442,GSM173443,GSM173444	oxt6:AtCPSF30_line_5 / wild-type	oxt6,CPSF30	No treatment	30 day-old plants	Mutation_or_Overexpression,,,,
GSE6151_0	AT2G30470	-1.06410348336893	0.00475876595474585	GSM142638,GSM142639,GSM142640 / GSM142626,GSM142627,GSM142628	MC002_dubos-MYB50_knockout_cork / MC002_dubos-cork(col-0)	MYB50	No treatment	Cork	Mutation_or_Overexpression,,,,
GSE21876_8	AT2G30470	-1.17489623393977	0.009162611378353471	GSM543960,GSM543962 / GSM543964,GSM543966	upbmeristematic_zone / OXUPBmeristematic_zone	UPB	No treatment	Seedling root meristem zone of 6 days after germination	Mutation_or_Overexpression,,,,,,
GSE46456_3	AT2G30470	-1.358153412426	0.00340406715290521	GSM1130605,GSM1130606,GSM1130607 / GSM1130599,GSM1130600,GSM1130601	7d-old_gul2-1bri1-5_double_mutant_seedling_grown_under_red_light / 7d-old_bri1-5_mutant_seedling_grown_under_red_light	gul2	Under continuous red light	7 day-old whole seedlings	Mutation_or_Overexpression,,,,
GSE31593_2	AT2G30470	-1.4469001232981002	8.76980138844364e-05	GSM784919,GSM784920,GSM784921 / GSM784910,GSM784911,GSM784912	genotype:_P35S:rGRF3_overexpression / genotype:_thaliana_ecotypes_WS	rGRF3 	No treatment	2 week-old roots	Mutation_or_Overexpression,,,,
GSE20256_4	AT2G30470	-1.4809907128112099	0.00546842077359262	GSM507496,GSM507500 / GSM507497,GSM507501	swn / clf/swn	clf	No treatment	10 or 12 day-old whole plants	Mutation_or_Overexpression,,,,,,
GSE34047_0	AT2G30470	-1.6343230577074	0.000284433599471858	GSM840975,GSM840976,GSM840977 / GSM840963,GSM840964,GSM840965	tbf1-elf / WT-elf	tbf1	10 uM elf18 for 2 h (infiltration)	3 weeks old mature leaf	Mutation_or_Overexpression,,,,
GSE19520_21	AT2G30470	-1.8165196492384499	0.00295644569326344	GSM486937,GSM486938,GSM486939 / GSM486934,GSM486935,GSM486936	agb1_gpa1_+ABA_LF / gpa1_+ABA_LF	agb1	50uM ABA treated for 3h	Leaves of five week-old plants	Mutation_or_Overexpression,,,,
GSE17610_1	AT2G30470	-2.36361805418961	0.0020023759688648	GSM439773,GSM439774,GSM439775 / GSM439767,GSM439768,GSM439769	SAM_SE_agl15_agl18_double_mutant / SAM_SE_Col	agl15,agl18	No treatment	10 day shoot apical meristem	Mutation_or_Overexpression,,,
GSE15939_5	AT2G30470	1.72377719078432	0.00528179802559976	GSM399898,GSM399899 / GSM399895,GSM399896,GSM399897	WS / Col-0	Col-0,WS	No treatment	rosette leaves of 4-week-old plants	Ecotype_or_Cultivar,,,,
GSE30795_2	AT2G30470	-1.1296611312285902	0.0021228239874001896	GSM764082 / GSM764079	Can_0_floral_bud_validation / Col_0_floral_bud_validation	Col-0,Can-0	No treatment	stage 12 floral bud	Ecotype_or_Cultivar,,,,,,,
GSE30795_0	AT2G30470	-1.73086907722423	2.41495168942061e-05	GSM764080 / GSM764077	Can_0_seedling_validation / Col_0_seedling_validation	Col-0,Can-0	No treatment	11 day-old seedling	Ecotype_or_Cultivar,,,,,,,
