Term	Gene	Log2(FoldChange)	PValue	Compare_Sample_ID	Compare_Sample_Info	Factor	Condition	Tissue	Category,,,,,,,,,,
GSE61408_4	AT5G13790	2.55804158012348	0.00456305914298649	GSM1504056,GSM1504057 / GSM1504047,GSM1504048,GSM1504049	pSCR::GFP_sorted_cells_96hr_auxin_treatment / pSCR::GFP_sorted_cells_no_auxin_treatment	Auxin treatment	96h_auxin / no_treatment	2 days post germination; endodermis	Treatment,,,,,,,
GSE27508_0	AT5G13790	2.45112939437076	0.00029814614077545	GSM679546,GSM679547,GSM679548 / GSM679543,GSM679544,GSM679545	35-day-old_hypocotyls_with_auxin_treatment_for_1_day / 35-day-old_hypocotyls_without_auxin_treatment	Auxin treatment	with_auxin_treatment_for_1_day / without_auxin_treatment	35 day-old hypocotyls	Treatment,,,,,,
GSE61408_3	AT5G13790	2.25720992943546	0.00010115947173878101	GSM1504054,GSM1504055 / GSM1504047,GSM1504048,GSM1504049	pSCR::GFP_sorted_cells_72hr_auxin_treatment / pSCR::GFP_sorted_cells_no_auxin_treatment	Auxin treatment	72h_auxin / no_treatment	2 days post germination; endodermis	Treatment,,,,,,,
GSE31977_1	AT5G13790	2.03861112087251	5.1674186414415e-06	GSM791910,GSM791911,GSM791912 / GSM791904,GSM791905,GSM791906	4-day-old_plants_(Col-0)_treated_with_200_uM_As / 4-day-old_plants_(Col-0)_treated_with_0_uM_As	Arsenic treatment	treated_with_200_uM_As / treated_with_0_uM_As	4 day-old seedlings	Treatment,,,,,,
GSE80188_4	AT5G13790	2.00521770927102	0.0016452733874063401	GSM2114481 / GSM2114480	10uM_MeJA/50nM_CK_Roots / 50nM_cytokinin_(BAP)_Roots	MeJA treatment	10uM_MeJA/50nM_CK / 50nM_CK	7 day-old roots	Treatment,,,,,,,,,,
GSE27508_1	AT5G13790	1.98520738753595	0.000359144538564204	GSM679540,GSM679541,GSM679542 / GSM679537,GSM679538,GSM679539	7-day-old_hypocotyls_with_auxin_treatment_for_1_day / 7-day-old_hypocotyls_without_auxin_treatment	Auxin treatment	with_auxin_treatment_for_1_day / without_auxin_treatment	7 day-old hypocotyls	Treatment,,,,,,
GSE48235_0	AT5G13790	1.97727992349992	0.000121310514184097	GSM1173204,GSM1173205 / GSM1173202,GSM1173203	WS_S1 / WS_water	Drought stress	first_drought_stress / watered_condition	Rosette leaves	Treatment,,,,,,,,
GSE81166_3	AT5G13790	1.96390679389098	2.65505271974777e-23	GSM2144065,GSM2144066,GSM2144067 / GSM2144051,GSM2144052,GSM2144053,GSM2144054,GSM2144055	Col_Injury+Auxin_55h / Col_control_0	Injury+IAA treatment	Injury+IAA_55h / DMSO_0h	14 day-old stem	Treatment,,,,
GSE81166_1	AT5G13790	1.7491404087973002	5.13784438472932e-17	GSM2144059,GSM2144060,GSM2144061 / GSM2144051,GSM2144052,GSM2144053,GSM2144054,GSM2144055	Col_auxin_55h / Col_control_0	IAA treatment	IAA_55h / DMSO_0h	14 day-old stem	Treatment,,,,
GSE35580_3	AT5G13790	1.70737507121559	0.00107171555194373	GSM871251,GSM871252,GSM871253 / GSM871248,GSM871249,GSM871250	pericycle_auxin / pericycle_control	Auxin treatment	5_uM_IAA / mock	The pericycle of one-week-old seedlings	Treatment,,,,,,
GSE81166_10	AT5G13790	1.68771167505811	1.7705328608009698e-15	GSM2144065,GSM2144066,GSM2144067 / GSM2144056,GSM2144057,GSM2144058	Col_Injury+Auxin_55h / Col_mock_control_55h	Injury+IAA treatment	Injury+IAA_55h / DMSO_55h	14 day-old stem	Treatment,,,,,,
GSE85923_6	AT5G13790	1.65480226026303	1.44374144450233e-11	GSM2287884,GSM2287896,GSM2287908 / GSM2287883,GSM2287895,GSM2287907	w18_40_1h / w18_40_0h	flg22 treatment	flg22_treatment_for_1h / untreated	12 day-old seedlings	Treatment,,,,,,
GSE81166_8	AT5G13790	1.47073274990803	3.5109664826662504e-09	GSM2144059,GSM2144060,GSM2144061 / GSM2144056,GSM2144057,GSM2144058	Col_auxin_55h / Col_mock_control_55h	IAA treatment	IAA_55h / DMSO_55h	14 day-old stem	Treatment,,,,,,
GSE31977_0	AT5G13790	1.45495593278541	0.0013206815515007801	GSM791907,GSM791908,GSM791909 / GSM791904,GSM791905,GSM791906	4-day-old_plants_(Col-0)_treated_with_100_uM_As / 4-day-old_plants_(Col-0)_treated_with_0_uM_As	Arsenic treatment	treated_with_100_uM_As / treated_with_0_uM_As	4 day-old seedlings	Treatment,,,,,,
GSE85923_7	AT5G13790	1.4506491144651201	9.326548740835641e-13	GSM2287885,GSM2287897,GSM2287909 / GSM2287883,GSM2287895,GSM2287907	w18_40_2h / w18_40_0h	flg22 treatment	flg22_treatment_for_2h / untreated	12 day-old seedlings	Treatment,,,,,,
GSE9311_0	AT5G13790	1.4457238553222502	0.00297265482352731	GSM237282,GSM237283 / GSM237280,GSM237281	Root_Selenate / Root_control	Selenate treatment	40mM_selenate_treatment / no_treatment	Root tissues of 10-day-old plants 	Treatment,,,,,,,,
GSE61408_1	AT5G13790	1.43023607182398	0.00107304386085381	GSM1504050,GSM1504051 / GSM1504047,GSM1504048,GSM1504049	pSCR::GFP_sorted_cells_24hr_auxin_treatment / pSCR::GFP_sorted_cells_no_auxin_treatment	Auxin treatment	24h_auxin / no_treatment	2 days post germination; endodermis	Treatment,,,,,,,
GSE85923_5	AT5G13790	1.32572673102039	1.80026755679e-12	GSM2287882,GSM2287894,GSM2287906 / GSM2287880,GSM2287892,GSM2287904	w40_2h / w40_0h	flg22 treatment	flg22_treatment_for_2h / untreated	12 day-old seedlings	Treatment,,,,,,
GSE35580_2	AT5G13790	1.3183346013114898	0.00801634927536558	GSM871269,GSM871270,GSM871271 / GSM871266,GSM871267,GSM871268	intact_root_auxin / intact_root_control	Auxin treatment	5_uM_IAA / mock	The intact root of one-week-old seedlings 	Treatment,,,,,,
GSE80188_3	AT5G13790	1.31608064019543	0.0347977283971235	GSM2114481 / GSM2114479	10uM_MeJA/50nM_CK_Roots / 10uM_Methyl_jasmonate_(MeJA)_Roots	BAP treatment	10uM_MeJA/50nM_CK / 10uM_MeJA	7 day-old roots	Treatment,,,,,,,,,,
GSE8955_20	AT5G13790	1.2872817249638402	0.00379036855171049	GSM226919,GSM226920 / GSM226911,GSM226912	cop1-6_Seedling_BL+ABA / cop1-6_Seedling_BL	ABA treatment	Constant blue-light	10 day-old seedlings	Treatment,,,,,,,,
GSE52966_1	AT5G13790	1.27392902466494	0.0005891266985810481	GSM1279538,GSM1279539 / GSM1279534,GSM1279535	Col_5uM_IAA_4hr / Col_mock_4h	IAA treatment	5uM_IAA_4h / mock_4h	7 day-old primary roots	Treatment,,,,,,,,
GSE37130_4	AT5G13790	1.26162946948046	0.00857240061968874	GSM911861,GSM911862 / GSM911859,GSM911860	Col_24h / Col_RT	Cold stress	4C_for_24h / room_temperature	20 day-old leaves	Treatment,,,,,,,,
GSE57140_1	AT5G13790	1.18982267542368	0.00166020826718247	GSM1375895,GSM1375896,GSM1375897 / GSM1375892,GSM1375893,GSM1375894	NAA_+AA / NAA_-AA	AA treatment	B5_media_supplemented_with_4.5_?M_NAA_and_treated_with_AA / B5_media_supplemented_with_4.5_?M_NAA_and_untreated	Seedlings	Treatment,,,,,,
GSE85923_4	AT5G13790	1.18229048476802	1.67612925492272e-09	GSM2287881,GSM2287893,GSM2287905 / GSM2287880,GSM2287892,GSM2287904	w40_1h / w40_0h	flg22 treatment	flg22_treatment_for_1h / untreated	12 day-old seedlings	Treatment,,,,,,
GSE61408_2	AT5G13790	1.14221986062971	1.6991222725879299e-06	GSM1504052,GSM1504053 / GSM1504047,GSM1504048,GSM1504049	pSCR::GFP_sorted_cells_48hr_auxin_treatment / pSCR::GFP_sorted_cells_no_auxin_treatment	Auxin treatment	48h_auxin / no_treatment	2 days post germination; endodermis	Treatment,,,,,,,
GSE79885_2	AT5G13790	1.13095938133555	0.0065395217548781205	GSM2107322,GSM2107323,GSM2107324 / GSM2107319,GSM2107320,GSM2107321	wrky75_ozone / wrky75_ctrl	Ozone exposure	350_ppb_ozone_exposure_for_2h / no_treatment	3 week-old  whole rosette	Treatment,,,,,,
GSE85923_1	AT5G13790	1.12875234297736	1.03454991284178e-10	GSM2287876,GSM2287888,GSM2287900 / GSM2287874,GSM2287886,GSM2287898	wt_2h / wt_0h	flg22 treatment	flg22_treatment_for_2h / untreated	12 day-old seedlings	Treatment,,,,,,
GSE5770_5	AT5G13790	1.1255946731148703	0.0009501622704470961	GSM134775,GSM134777 / GSM134772,GSM134774	Col-0_5day_+lincomycin / Col-0_5day_-lincomycin	Lincomycin treatment	with_220_ug/ml_lincomycin / without_220_ug/ml_lincomycin	5 day-old, light grown, whole seedlings	Treatment,,,,,,
GSE65740_0	AT5G13790	1.09963246147808	0.000234564637082846	GSM1603943,GSM1603944,GSM1603945 / GSM1603940,GSM1603941,GSM1603942	Col-0_ozone_(control_genotype_for_coi1-16_ein2_sid2) / Col-0_ctrl_(control_genotype_for_coi1-16_ein2_sid2)	Ozone exposure	350_ppb_ozone_exposure_for_2h / no_treatment	3 week-old plants	Treatment,,,,,,
GSE61542_3	AT5G13790	1.09963246147808	0.000234564637082846	GSM1507915,GSM1507916,GSM1507917 / GSM1507912,GSM1507913,GSM1507914	Col-0_O3 / Col-0_ctrl	Ozone exposure	350_ppb_ozone_exposure_for_2h / no_treatment	3 week-old whole rosette	Treatment,,,,,,
GSE30712_2	AT5G13790	1.07899677822877	0.0010508181855137099	GSM761695,GSM761696,GSM761697,GSM761698 / GSM761691,GSM761692,GSM761693,GSM761694	seedling_in_far-red_treated_with_DEX / seedling_in_dark_treated_with_DEX	Light treatment	in_far-red_light_for_4_days_and_treated_with_DEX_for_2h / in_dark_for_4_days_and_treated_with_DEX_for_2h	4 day-old seedlings	Treatment,,,,
GSE85923_3	AT5G13790	1.07305083739092	5.39080642069882e-10	GSM2287879,GSM2287891,GSM2287903 / GSM2287877,GSM2287889,GSM2287901	w18_2h / w18_0h	flg22 treatment	flg22_treatment_for_2h / untreated	12 day-old seedlings	Treatment,,,,,,
GSE74515_3	AT5G13790	-1.20024462121436	2.5777121141961202e-08	GSM1922043,GSM1922044,GSM1922045 / GSM1922037,GSM1922038,GSM1922039	P1_PCK_phytoalexin_deficient_4_under_-Fe / P1_PFE_phytoalexin_deficient_4_under_+Fe	Fe-deficiency	without_Fe / with_Fe	7 day-old shoots	Treatment,,,,,,
GSE42896_6	AT5G13790	-1.24612631314355	0.000970581592206846	GSM1053033,GSM1053034,GSM1053035 / GSM1053030,GSM1053031,GSM1053032	Roots_at_T2_NAA / Roots_at_T1_NAA	NAA treatment	NAA_6h / NAA_2h	The roots of 3 days after germination	Treatment,,,,,,
GSE30223_7	AT5G13790	-1.4263198159928998	0.0033227278043865397	GSM748493,GSM748494,GSM748495 / GSM748469,GSM748470,GSM748471	seed_germinating_in_countinuous_light_48_h_SL / dry_seed_0_h	Light treatment	light_for_48h / no_treatment	Seeds	Treatment,,,,,,
GSE13927_0	AT5G13790	-1.70875430811872	0.000383318405036862	GSM350799,GSM350800,GSM350801,GSM350802 / GSM350803,GSM350804,GSM350805,GSM350806	Reference_35dpi / C58_35dpi	C58 inoculation	no_treatment / inoculated_with_C58_for_35days	Wounded inflorescence stalk	Treatment,,,,
GSE42896_5	AT5G13790	-1.8361566486621201	0.0032299293056991603	GSM1053027,GSM1053028,GSM1053029 / GSM1053033,GSM1053034,GSM1053035	Roots_at_T2_naxillin / Roots_at_T2_NAA	naxillin,NAA treatment	naxillin / NAA	The roots of 3 days after germination	Treatment,,,,,
GSE30223_14	AT5G13790	-1.8398075203197102	0.000150142026219165	GSM748493,GSM748494,GSM748495 / GSM748481,GSM748482,GSM748483	seed_germinating_in_countinuous_light_48_h_SL / seed_germinating_in_countinuous_light_1_h_SL	Light treatment	light_for_48h / light_for_1h	Seeds	Treatment,,,,,,
GSE42896_4	AT5G13790	-2.45435675945146	8.08180934646082e-06	GSM1053024,GSM1053025,GSM1053026 / GSM1053030,GSM1053031,GSM1053032	Roots_at_T1_naxillin / Roots_at_T1_NAA	naxillin,NAA treatment	naxillin / NAA	The roots of 3 days after germination	Treatment,,,,,
GSE3959_2	AT5G13790	4.725761304261651	0.0047459570892454	GSM90296,GSM90297 / GSM90298,GSM90299	Transgenic_LEC2GR_Seedling_4h_Dex / Wild-Type_WS-O_Seedling_4h_Dex	LEC2	Dex treated for 4h	8 day-old seedling	Mutation_or_Overexpression,,,,,,,,
GSE17610_0	AT5G13790	4.63713041232757	8.74222136293437e-05	GSM439770,GSM439771,GSM439772 / GSM439767,GSM439768,GSM439769	SAM_SE_35S:AGL15 / SAM_SE_Col	AGL15	No treatment	10 day shoot apical meristem	Mutation_or_Overexpression,,,,,,
GSE83568_6	AT5G13790	4.31594978943192	0.008864005674428771	GSM2209717,GSM2209718 / GSM2209713,GSM2209714	abc_10DAG / b_10DAG	bmi1b,bmi1c	No treatment	10 day-old seedlings	Mutation_or_Overexpression,,,,,,,
GSE3959_0	AT5G13790	3.92802785997697	0.0040181809886036205	GSM90294,GSM90295 / GSM90292,GSM90293	Transgenic_LEC2GR_Seedling_1h_Dex / Transgenic_LEC2GR_Seedling_0h_Dex	LEC2	Dex_treated_for_1h / Dex_treated_for_0h	8 day-old seedling	Mutation_or_Overexpression,,,,,,,,
GSE83568_2	AT5G13790	3.63241641982867	1.19247869260117e-50	GSM2209717,GSM2209718 / GSM2209709,GSM2209710	abc_10DAG / WT_10DAG	bmi1a,bmi1b,bmi1c	No treatment	10 day-old seedlings	Mutation_or_Overexpression,,,,,,
GSE83568_4	AT5G13790	3.37244831704266	4.092496017775299e-32	GSM2209717,GSM2209718 / GSM2209711,GSM2209712	abc_10DAG / a_10DAG	bmi1b,bmi1c	No treatment	10 day-old seedlings	Mutation_or_Overexpression,,,,,,,
GSE20256_0	AT5G13790	3.3264301514649905	0.0098671825326259	GSM507497,GSM507501 / GSM507494,GSM507498	clf/swn / Col	clf,swn	No treatment	10 or 12 day-old whole plants	Mutation_or_Overexpression,,,,,,,
GSE5632_20	AT5G13790	3.10364584997628	6.087230163778921e-05	GSM131621,GSM131622,GSM131623 / GSM131618,GSM131619,GSM131620	ATGE_55_ap1-15_flower_stage_12_equivalent_continuous_light_soil / ATGE_54_lfy-12_flower_stage_12_equivalent_continuous_light_soil	lfy,ap1	Under continous light	Flowers from different developmental stages	Mutation_or_Overexpression,,,,,
GSE5633_16	AT5G13790	2.9552415423200094	8.03810252068739e-09	GSM131670,GSM131671,GSM131672 / GSM131667,GSM131668,GSM131669	ATGE_48_ap1-15_shoot_apex_inflorescence_after_bolting / ATGE_47_lfy-12_shoot_apex_inflorescence_after_bolting	lfy,ap1	No treatment	Shoot apex, inflorescence	Mutation_or_Overexpression,,,,
GSE8279_0	AT5G13790	2.7303180661892403	0.009480281263410491	GSM205428,GSM205430 / GSM205432,GSM205435	met1-3_leaf_fourth-selfed_generation / Col_leaf_wildtype	met1	Under short-day conditions	Leaf tissue 	Mutation_or_Overexpression,,,,,,,,
GSE83568_3	AT5G13790	2.5006935838235496	1.6133309991686497e-20	GSM2209715,GSM2209716 / GSM2209711,GSM2209712	ab_strong_10DAG / a_10DAG	bmi1b	No treatment	10 day-old seedlings	Mutation_or_Overexpression,,,,,,,,
GSE75071_1	AT5G13790	2.46315384270128	0.00117768688578068	GSM1942143,GSM1942144,GSM1942145,GSM1942146,GSM1942147 / GSM1942140,GSM1942141,GSM1942142	met1_sdg78 / WT	met1,sdg7,sdg8	No treatment	Aerial tissue	Mutation_or_Overexpression,,
GSE67322_3	AT5G13790	2.28710275904185	0.00509687652789709	GSM1644827,GSM1891776 / GSM1644823,GSM1891779	atbmi1a_b / Col	atbmi1a,b	No treatment	2 week old seedlings without roots	Mutation_or_Overexpression,,,,,,,
GSE5633_17	AT5G13790	2.2023844887813797	0.000839384577684183	GSM131673,GSM131674,GSM131675 / GSM131667,GSM131668,GSM131669	ATGE_49_ap2-6_shoot_apex_inflorescence_after_bolting / ATGE_47_lfy-12_shoot_apex_inflorescence_after_bolting	lfy,ap2	No treatment	Shoot apex, inflorescence	Mutation_or_Overexpression,,,,
GSE30309_0	AT5G13790	2.14781875774351	1.2359348838008699e-05	GSM751291,GSM751292 / GSM751289,GSM751290	indRKD4ox_(UAS-RKD4_35S-GVG)_seedlings / Control_(35S-GVG)_seedlings	RKD4	Dexamethasone (DEX)-inducible	Seedlings, 3 days after germination	Mutation_or_Overexpression,,,,,,,
GSE5632_21	AT5G13790	2.0934598242034297	0.000536446226602903	GSM131624,GSM131625,GSM131626 / GSM131618,GSM131619,GSM131620	ATGE_56_ap2-6_flower_stage_12_equivalent_continuous_light_soil / ATGE_54_lfy-12_flower_stage_12_equivalent_continuous_light_soil	lfy,ap2	Under continous light	Flowers from different developmental stages	Mutation_or_Overexpression,,,,,
GSE83568_1	AT5G13790	2.06838224195907	0.0483625892085965	GSM2209714,GSM2209715,GSM2209716 / GSM2209709,GSM2209710,GSM2209713	b_10DAG / WT_10DAG	bmi1b	No treatment	10 day-old seedlings	Mutation_or_Overexpression,,,,,,
GSE5632_24	AT5G13790	1.9285834659587198	0.000256161516232755	GSM131633,GSM131634,GSM131635 / GSM131618,GSM131619,GSM131620	ATGE_59_ufo-1_flower_stage_12_equivalent_continuous_light_soil / ATGE_54_lfy-12_flower_stage_12_equivalent_continuous_light_soil	lfy,ufo	Under continous light	Flowers from different developmental stages	Mutation_or_Overexpression,,,,,
GSE50857_0	AT5G13790	1.85989036311766	0.00128074281064275	GSM1231248,GSM1231249 / GSM1231246,GSM1231247	sicy-192_cotyledons / wild-type_cotyledons	sicy	No treatment	4 day-old cotyledons	Mutation_or_Overexpression,,,,,,,,
GSE30492_3	AT5G13790	1.76928279107167	0.0009441938647474009	GSM756398,GSM756399,GSM756406,GSM756407 / GSM756402,GSM756403,GSM756410,GSM756411	ant-1 / seu-3_ant-1	seu	No treatment	Floral stage 8-10 hand dissected carpels	Mutation_or_Overexpression,,,,
GSE60387_0	AT5G13790	1.7205414027083898	1.0761049124565699e-07	GSM1477533,GSM1477534,GSM1477535,GSM1477536,GSM1477537,GSM1477538 / GSM1477527,GSM1477528,GSM1477529,GSM1477530,GSM1477531,GSM1477532	lsm4 / WT_Col	lsm4	Under continuous light	Whole plants	Mutation_or_Overexpression
GSE52966_6	AT5G13790	1.50678990319619	1.09697724511608e-09	GSM1279542,GSM1279543 / GSM1279546,GSM1279547	bri1-116_untreated / WT_Col-0_untreated	bri1-116	no treatment	7 day-old primary roots	Mutation_or_Overexpression,,,,,,,,
GSE43983_3	AT5G13790	1.46554299802755	0.00488405161441313	GSM1076105 / GSM1076101	clf28_siliques / wt_siliques	clf28	Under long day 	5 week-old siliques	Mutation_or_Overexpression,,,,,,,,,,
GSE69167_1	AT5G13790	1.4029129743106499	0.008875845349174379	GSM1694254,GSM1694255,GSM1694256 / GSM1694245,GSM1694246,GSM1694247	Cambium_stem_soc1ful / Cambium_stem_WT	soc1ful	No treatment	Cambium stem	Mutation_or_Overexpression,,,,,,
GSE32216_0	AT5G13790	1.3643222994373998	0.0112784864366744	GSM798297,GSM798298 / GSM798295,GSM798296	skip_rep1 / WT_rep1	skip	No treatment	7 day-old seedling	Mutation_or_Overexpression,,,,,,,,
GSE5633_24	AT5G13790	-1.3459226971274798	0.0019168626012732398	GSM131682,GSM131683,GSM131684 / GSM131670,GSM131671,GSM131672	ATGE_52_ufo-1_shoot_apex_inflorescence_after_bolting / ATGE_48_ap1-15_shoot_apex_inflorescence_after_bolting	ap1,ufo	No treatment	Shoot apex, inflorescence	Mutation_or_Overexpression,,,,
GSE52966_3	AT5G13790	-1.3781234236793998	1.7087766663191297e-08	GSM1279544,GSM1279545 / GSM1279542,GSM1279543	bri1-116;bzr1-1D_untreated / bri1-116_untreated	bzr1-1D	no treatment	7 day-old primary roots	Mutation_or_Overexpression,,,,,,,,
GSE5633_9	AT5G13790	-1.43196988803392	0.00185218409272192	GSM131682,GSM131683,GSM131684 / GSM131661,GSM131662,GSM131663	ATGE_52_ufo-1_shoot_apex_inflorescence_after_bolting / ATGE_29_Col-0_shoot_apex_inflorescence_after_bolting	ufo	No treatment	Shoot apex, inflorescence	Mutation_or_Overexpression,,,,,
GSE40354_11	AT5G13790	-1.43682839630041	0.0032364453208161303	GSM991920,GSM991921,GSM991922 / GSM991917,GSM991918,GSM991919	ein2_elf18_2h / WT_elf18_2h	ein2	1 uM elf18 treatment for 2h	10-12 day-old whole seedlings	Mutation_or_Overexpression,,,,,,
GSE5632_38	AT5G13790	-1.45452993454949	2.02187810704303e-05	GSM131630,GSM131631,GSM131632 / GSM131624,GSM131625,GSM131626	ATGE_58_ag-12_flower_stage_12_equivalent_continuous_light_soil / ATGE_56_ap2-6_flower_stage_12_equivalent_continuous_light_soil	ap2,ag	Under continous light	Flowers from different developmental stages	Mutation_or_Overexpression,,,,,
GSE1051_5	AT5G13790	-1.46003797767332	0.000988239830286214	GSM10479,GSM10480 / GSM10448,GSM10449	lec1-1_Cotyledon_Stage_Seed / WT_Cotyledon_Stage_Seed	lec1	Cotyledon Stage Seed	Seeds	Mutation_or_Overexpression,,,,,,,,
GSE28062_0	AT5G13790	-1.57013260447946	5.62288289076918e-05	GSM694047,GSM694048,GSM694049,GSM694050 / GSM694051,GSM694052,GSM694053,GSM694054	LFYGR / WT	LEAFY	10uM dexamethasone treatment	9 day-old shoot apices	Mutation_or_Overexpression,,,,
GSE26297_13	AT5G13790	-1.60979938972555	0.006480791562484271	GSM645706,GSM645707 / GSM645694,GSM645695	ckh2_CK200 / wild_type_(Ler)_CK200	ckh2	Cultured on CIM in the presence of high level of cytokinin	Hypocotyl segments	Mutation_or_Overexpression,,,,,,,,
GSE5632_11	AT5G13790	-1.6734987173936298	0.00167686706279233	GSM131630,GSM131631,GSM131632 / GSM131615,GSM131616,GSM131617	ATGE_58_ag-12_flower_stage_12_equivalent_continuous_light_soil / ATGE_53_clv3-7_flower_stage_12_equivalent_continuous_light_soil	clv3,ag	Under continous light	Flowers from different developmental stages	Mutation_or_Overexpression,,,,,
GSE30492_2	AT5G13790	-1.87379162924779	0.000539197061812782	GSM756402,GSM756403,GSM756410,GSM756411 / GSM756396,GSM756397,GSM756404,GSM756405	seu-3_ant-1 / Col-0	seu,ant	No treatment	Floral stage 8-10 hand dissected carpels	Mutation_or_Overexpression,,,
GSE40354_4	AT5G13790	-1.9066972662396597	0.00417303231637987	GSM991890,GSM991891,GSM991892 / GSM991887,GSM991888,GSM991889	ein2_pep2_2h / WT_pep2_2h	ein2	1 uM Pep2 treatment for 2h	10-12 day-old whole seedlings	Mutation_or_Overexpression,,,,,,
GSE5633_13	AT5G13790	-1.9892575981699199	0.00604942911436384	GSM131676,GSM131677,GSM131678 / GSM131664,GSM131665,GSM131666	ATGE_50_ap3-6_shoot_apex_inflorescence_after_bolting / ATGE_46_clv3-7_shoot_apex_inflorescence_after_bolting	clv3,ap3	No treatment	Shoot apex, inflorescence	Mutation_or_Overexpression,,,,
GSE5632_32	AT5G13790	-2.00048289014857	0.00048463554648128093	GSM131630,GSM131631,GSM131632 / GSM131621,GSM131622,GSM131623	ATGE_58_ag-12_flower_stage_12_equivalent_continuous_light_soil / ATGE_55_ap1-15_flower_stage_12_equivalent_continuous_light_soil	ap1,ag	Under continous light	Flowers from different developmental stages	Mutation_or_Overexpression,,,,,
GSE5633_22	AT5G13790	-2.18661086557334	0.0023410714003178	GSM131676,GSM131677,GSM131678 / GSM131670,GSM131671,GSM131672	ATGE_50_ap3-6_shoot_apex_inflorescence_after_bolting / ATGE_48_ap1-15_shoot_apex_inflorescence_after_bolting	ap1,ap3	No treatment	Shoot apex, inflorescence	Mutation_or_Overexpression,,,,
GSE40354_5	AT5G13790	-2.2680075184467	3.42837746053246e-05	GSM991893,GSM991894,GSM991895 / GSM991887,GSM991888,GSM991889	p1p2_pep2_2h / WT_pep2_2h	pepr1,pepr2	1 uM Pep2 treatment for 2h	10-12 day-old whole seedlings	Mutation_or_Overexpression,,,,,
GSE5633_10	AT5G13790	-2.3145072415137498	0.000320434728787546	GSM131667,GSM131668,GSM131669 / GSM131664,GSM131665,GSM131666	ATGE_47_lfy-12_shoot_apex_inflorescence_after_bolting / ATGE_46_clv3-7_shoot_apex_inflorescence_after_bolting	lfy,clv3	No treatment	Shoot apex, inflorescence	Mutation_or_Overexpression,,,,
